"","id","artikel","label"
"1",1,"leadership atau kepemimpinan adalah kegiatan mempengaruhi orang banyak dengan cara memberi pengarahan atau contoh agar orang lain yang dibina mau mengerjakan perintah dan tujuan kelompok atau organisasi","Bukan CEO"
"2",2,"seorang pemimpin beda dengan manager meskipun keduanya sama sama memahami bisnis organisasinya dengan baik seorang pemimpin bertanggung jawab dalam menciptakan visi organisasi konsep bisnis rencana serta program untuk mencapai target organisasi sementara manager bertanggung jawab atas penerapan dan pencapaiannya","Bukan CEO"
"3",3,"karakter dan sifat pemimpin diasarkan kepada beberapa kategori yang berbeda yaitu sifat dan juga intelektual","Bukan CEO"
"4",4,"sifat karakter kepemimpinan merupakan suatu karunia yang dibawa dari lahir sifat yang harus imiliki kepemimpinan yaitu tanggung jawab melindungi peduli teliti hormat","Bukan CEO"
"5",5,"melindungi disini penting karena kewajiban selain mempengaruhi bawahan juga harus melindunginya agar mereka bekerja dengan baik dan sesuai target dan agenda kerjannya","Bukan CEO"
"6",6,"yang kedua yaitu intelektual patokan yang pasti dalam membangun jiwa pemimpin adalah mengaah intelektualnya cara mempertajam intelektual ya dengan cara belajar calon pemimpin tak perlu belajar tinggi setiap manusia dianugerahi jiwa bakat pemimpin dan bakat itu jangan sampai hilang harus diasah umur tidaklah mejadi hambatan karena belajar tidak mengenal batas usia","Bukan CEO"
"7",7,"tidak sedikit permasalahan yang harus dihadapi oleh suatu organisasi atau perusahaan bisnis peran penting seorang pemimpin perusahaan diperlukan untuk menyelesaikannya tidak sekedar hadirnya seorang pemimpin namun yang benar benar memahami bagaimana menyelesaikan masalah tersebut selain itu juga tetap mampu mendorong para bawahan atau anak buah untuk tetap bersemangat dalam menyelesaikan pekerjaannya","Bukan CEO"
"8",8,"garis besarnya adalah sekarang ini untuk menjadi pemimpin harus mengandalkan kualitas berfikir wawasan luas serta mau belajar dari oranglain","Bukan CEO"
"9",9,"dan pada dasarnya seorang pemimpin akan memberikan pengaruh terhadap orang orang yang dipimpinnya yang bisa dilihat bagaimana perkembangan perusahaan atau organisasi yang dipimpinnya oleh karena itu peranan seorang leadership merupakan hal yang harus diperhatikan karena perannya sangatlah besar bagi perusaaan organisasinya","Bukan CEO"
"10",10,"kepemimpinan adalah kemampuan seseorang dalam memengaruhi orang lain yang umumnya melalui motivasi untuk bekerja sesuai dengan tujuan dan sasaran yang berlaku","Bukan CEO"
"11",11,"sebagai manajer sudah umum diketahui bahwa gaya kepemimpinan yang dilakukan akan sangat mempengaruhi bagaimana perilaku karyawan tersebut bekerja untuk sampai menuju goals atau tujuan tujuan yang sudah manajer buat","Bukan CEO"
"12",12,"selain mempengaruhi bagaimana perilaku karyawan tersebut manager sudah pastinya harus menguasai hal hal seperti manajemen yang biasa dibutuhkan untuk mengatasi kerumitan dengan cara membuat tata tertib dengan menyusun rencana rencana formal merancang struktur organisasi yang ketat setelah itu memantau hasil yang sudah dilakukan dengan cara membandingkannya dengan rencana yang telah ditetapkan sebelumnya","Bukan CEO"
"13",13,"presiden joko widodo merupakan salah satu gaya kepemimpinan yang melaksanakan servant leadership","Bukan CEO"
"14",14,"namun apa itu servant leadership mengapa presiden joko widodo dapat menjadi contoh diantara pemimpin yang melaksanakan servant leadersip seperti yang ditulis oleh robert greenleaf yang berjudul the servant as leader servant leadership ini dapat hadir dari seseorang yang mempunyai rasa alami ingin melayani kemudian secara sadar membawa seseorang untuk memimpin dengan cara menempatkan kebutuhan karyawan sebagai prioritas mengenal kehormatan dan pentingnnya nilai bagi setiap individu dan membatu orang lain dalam mencapai suatu tujuan bersama","Bukan CEO"
"15",15,"karakteristik utama yang membedakan antara kepemimpinan pelayan dengan model kepemimpinan lainnya dalah keinginan untuk melayani hadir sebelum adanya keinginan untuk memimpin","Bukan CEO"
"16",16,"selanjutnya mereka yang memiliki kualitas kepemimpinan akan menjadi pemimpin","Bukan CEO"
"17",17,"sedangkan prioritas kepemimpinan pelayan yang pertama dan utama adalah pada pengembangan karyawan yang menghasilkan nilai tambah bagi pelanggan lalu terciptanya kepuasan pelanggan yang diikuti dengan keberhasilan yang berkesinambungan","Bukan CEO"
"18",18,"untuk mengembangkan perusahaan saat ini sangatlah direkomendasikan kualifikasi pemimpin yang memiliki karakteristik sebagai leadership seperti berikut 1","Bukan CEO"
"19",19,"dapat menerima beragam pendapat dengan adanya rasa untuk menghargai setiap pendapat orang lain maka sudah timbul rasa untuk tidak hanya mengandalkan kemampuan diri sendiri maka hadirlah rasa untuk saling membantu orang","Bukan CEO"
"20",20,"dalam kehidupan sehari hari kita pasti mendengar dua istilah leadership jiwa kepemimpinan dan leader pemimpin khususnya di ranah akademik politik atau suatu organisasi","Bukan CEO"
"21",21,"namun apakah sebenarnya makna keduanya dalam konteks yang lebih mendalam sebagai makhluk sosial manusia banyak berinteraksi dan berkaitan dengan orang lain karena secara alamiah manusia membutuhkan bantuan orang lain untuk mencapai tujuan tertentu karena","Bukan CEO"
"22",22,"alfred north whitehead mengatakan tidak ada satu orang pun yang meraih keberhasilan tanpa melibatkan bantuan dari orang orang lain","Bukan CEO"
"23",23,"demi tercapainya tujuan individu maupun kolektif manusia tidak boleh mengesampingkan keharmonisan hubungan antar sesama manusia karena setiap manusia memiliki peran dan kontribusinya masing masing dalam suatu pencapaian","Bukan CEO"
"24",24,"leadership sehingga yang harus ditekankan adalah kita harus mengembangkan kualitas diri untuk memelihara hubungan tersebut salah satunya adalah dengan meningkatkan kualitas kepemimpinan leadership","Bukan CEO"
"25",25,"pada dasarnya setiap manusia memiliki jiwa kepemimpinan dan potensi untuk menjadi pemimpin baik untuk dirinya sendiri maupun orang lain","Bukan CEO"
"26",26,"namun sebagai mahluk sosial yang berkenaan dengan orang banyak mereka yang terpilih sebagai pemimpin perlu memperhatikan kualitas leadership yang berorientasi pada kepentingan bersama dan tidak bersifat dominan","Bukan CEO"
"27",27,"secara umum leadership merupakan salah satu aspek penting yang dimiliki manusia untuk berinteraksi dengan manusia lain atau dengan kata lain keahlian atau kecakapan tertentu yang dimiliki seseorang untuk mengendalikan dan mempengaruhi banyak orang untuk meraih tujuan tertentu untuk kepentingan bersama","Bukan CEO"
"28",28,"margi gordon mengatakan bahwa leadership tidak melulu dikaitkan dengan kekuasaan authority","Bukan CEO"
"29",29,"leadership merupakan kemampuan individu dalam memobilisasi dan melibatkan dirinya dan orang lain untuk meraih cita cita yang diidealkan bersama","Bukan CEO"
"30",30,"dalam pandangan lain leadership bisa juga berarti sebagai kemampuan individu dalam memotivasi dan mempengaruhi dan mengarahkan orang lain untuk mencapai tujuan tertentu yang merangkul kepentingan orang orang yang dipimpinnya","Bukan CEO"
"31",31,"pandemi virus corona telah memberikan tuntutan yang sangat besar bagi para pemimpin di sektor bisnis maupun sektor sektor lainnya","Bukan CEO"
"32",32,"korban jiwa akibat virus ini menimbulkan ketakutan di antara para pekerja dan berbagai pemangku kepentingan","Bukan CEO"
"33",33,"wabah yang berskala besar dan ketidakpastian yang dihadapi dapat menyulitkan para pemimpin untuk mengatasinya","Bukan CEO"
"34",34,"wabah ini memiliki ciri khas sebagai krisis landscape scale atau berskala luas yang dapat dimaknai sebagai peristiwa tak terduga atau besar yang terjadi dengan kecepatan luar biasa sehingga menyebabkan tingkat ketidakpastian tinggi yang menimbulkan disorientasi perasaan kehilangan kendali dan gangguan emosi yang kuat","Bukan CEO"
"35",35,"x1 hal pertama yang harus dilakukan oleh pemimpin adalah menyadari bahwa perusahaan sedang menghadapi krisis","Bukan CEO"
"36",36,"hal ini merupakan langkah yang cukup sulit terutama di saat krisis datang perlahan dan berkembang di dalam situasi yang terlihat wajar sehingga tidak terlihat secara nyata","Bukan CEO"
"37",37,"x2 beberapa contoh terkait krisis serupa ialah wabah sars yang terjadi pada tahun 2002 03 dan pandemik virus corona yang berlangsung saat ini","Bukan CEO"
"38",38,"untuk mengantisipasi ancaman potensial dari krisis yang berkembang dengan lambat ini para pemimpin perlu menekan bias kenormalan normalcy bias yang dapat menyebabkan mereka meremehkan kemungkinan maupun dampak yang dapat ditimbulkan","Bukan CEO"
"39",39,"x3 ketika para pemimpin menyadari terjadinya krisis mereka dapat memulai memikirkan bagaimana merespon terhadap peristiwa tersebut","Bukan CEO"
"40",40,"namun demikian mereka tidak dapat merespon seperti dalam dalam keadaan darurat biasa dimana tindakan biasanya dilakukan mengikuti rencana yang telah disusun sebelumnya","Bukan CEO"
"41",41,"x","Bukan CEO"
"42",42,"dalam krisis dimana terdapat banyak ketidakbiasaan unfamiliarity dan ketidakpastian perlu dilakukan penyesuaian besar untuk memberikan respon secara efektif","Bukan CEO"
"43",43,"x4 respon dapat dapat dilakukan secara luas tidak hanya tindakan sementara misalnya pemberlakuan kebijakan work from home namun juga penyesuaian dengan praktik bisnis yang ada seperti penerapan tools atau cara baru untuk membantu proses kolaborasi yang dapat bermanfaat untuk mempertahankan jalannya bisnis bahkan setelah krisis berlalu","Bukan CEO"
"44",44,"hal yang dibutuhkan oleh para pemimpin saat terjadi krisis bukanlah penanganan yang telah terencana sebelumnya melainkan perilaku dan pola pikir yang dapat mencegah reaksi yang berlebihan terhadap krisis dan bagaimana menghadapi tantangan ke depan","Bukan CEO"
"45",45,"dalam artikel ini kami menggali lima perilaku dan pola pikir yang dapat membantu para pemimpin untuk mengambil tindakan terbaik dalam mengatasi pandemi virus corona dan krisis lainnya di masa depan","Bukan CEO"
"46",46,"ada banyak teori tentang kepemimpinan tapi kisah nyata dari setiap pemimpin hebat tentu akan menjadi sebuah kisah yang sangat menginspiratif dan membakar semangat","Bukan CEO"
"47",47,"semangat untuk menjadi pemimpin hebat daripada hanya sekedar menilik penjelasan poin per poin layaknya pelajaran di kampus yang tak jarang based on the text book","Bukan CEO"
"48",48,"pompa kembali semangat kepemimpinan anda dengan menengok kisah kisah kepemimpinan inspiratif dan wejangan yang dialami sendiri oleh para pemimpin hebat berikut ini","Bukan CEO"
"49",49,"eugene kranz direktur penerbangan apollo 13 di nasa apa jadinya jika pesawat yang membawa para astronot mengalami kerusakan yang vital karena ledakan besar yang terjadi sementara para astronot di dalamnya masih dalam keadaan selamat namun terkatung katung di luar angkasa yang tak bertuan dan tak berujung kerusakan dilaporkan oleh eugene kranz direktur penerbangan apollo 13 dalam sebuah gambar di layar monitor dengan pemandangan yang mencemaskan","Bukan CEO"
"50",50,"saat itu para astronot apollo 13 dalam sebuah armada luar angkasa yang sempat mengalami ledakan yang membuat keadaan pesawat mengalami penurunan kualitas","Bukan CEO"
"51",51,"pertanyaan besar yang timbul adalah bagaimana membawa para astronot itu kembali ke bumi dan menyelamatkan mereka dengan fakta sistem penyaringan udara pada lunar lander tidak dapat bertahan untuk mencukupi kebutuhan para astronot hingga sampai di bumi","Bukan CEO"
"52",52,"hal ini disebabkan karena kemungkinan mereka akan mati oleh tingginya tingkat karbon dioksida","Bukan CEO"
"53",53,"kisah kepemimpinan 02 eugene kranz finansialku eugene f","Bukan CEO"
"54",54,"kranz lahir pada 17 agustus 1933 dan menjabat sebagai direktur penerbangan nasa untuk program program gemini dan apollo termasuk pendaratan di bulan oleh apollo 11 dan misi apollo 13","Bukan CEO"
"55",55,"eugene kranz membawa beban berat selama beberapa hari setelah kejadian tersebut dan membuatnya harus bertanggung jawab dalam setiap pengambilan keputusan yang harus seakurat mungkin","Bukan CEO"
"56",56,"hal ini juga harus dilakukan di tengah sempitnya waktu demi aksi penyelamatan para astronot yang nasibnya ada di bawah setiap keputusan sang direktur nasa tersebut","Bukan CEO"
"57",57,"orang orang cerdas dan para ahli di nasa mulai mengalami kepanikan dalam situasi kritis yang tengah dihadapi","Bukan CEO"
"58",58,"dalam momen tersulit tersebut eugene kranz dengan tenang dan tegas mengatakan mari kita selesaikan masalah ini eugene kranz mengarahkan semua tim nasa untuk berkonsentrasi pada setiap hal yang dapat mereka lakukan","Bukan CEO"
"59",59,"setiap tindakan harus dilakukan dengan cepat dan tentu saja dengan tepat serta akurat","Bukan CEO"
"60",60,"sang direktur sadar bahwa pengambilan keputusan yang salah sedikit saja akan berakibat fatal dan hanya nama nama para astronot saja yang akan kembali ke bumi dan dikenang","Bukan CEO"
"61",61,"dikenang sebagai orang orang yang pernah melakukan misi luar angkasa dan mengalami kegagalan kembali ke bumi","Bukan CEO"
"62",62,"di saat genting dan krisis inilah momen kepemimpinan muncul dan para pemimpin terlihat sosok aslinya sebagai pemimpin hebat yang membangun kerja sama tim dan membakar semangat para anggotanya","Bukan CEO"
"63",63,"semangat untuk tetap optimis meski situasi tak menentu bahkan sepertinya mengalami kebuntuan","Bukan CEO"
"64",64,"kisah kepemimpinan eugene kranz dan juga kerja sama solid antar awak kapal luar angkasa bersama dengan kru nasa ini akhirnya menjadi sebuah kisah nyata inspiratif","Bukan CEO"
"65",65,"kisah ini bahkan didokumentasikan dalam sebuah film yang disutradari oleh ron howard yang rilis pada tahun 1995","Bukan CEO"
"66",66,"tough means we are forever accountable for what we do or what we fail to do","Bukan CEO"
"67",67,"we will never again compromise our responsibilities","Bukan CEO"
"68",68,"every time we walk into mission control we will know what we stand for","Bukan CEO"
"69",69,"eugene kranz tangguh berarti kita selamanya bertanggung jawab atas apa yang kita lakukan atau atas kegagalan yang kita lakukan","Bukan CEO"
"70",70,"kita tidak akan pernah lagi berkompromi dengan tanggung jawab ktia","Bukan CEO"
"71",71,"setiap kali kita memasuki mission control kita akan tahu apa yang kita perjuangkan","Bukan CEO"
"72",72,"barrack obama mantan presiden amerika serikat bersama dengan istrinya michelle obama mereka menjadi pasangan pemimpin yang sangat inspiratif dan saling mendukung satu dengan lainnya","Bukan CEO"
"73",73,"sebagai pemimpin negara adikuasa yang sempat kontroversial karena berkulit hitam barrack obama mampu menunjukkan kualitas kepemimpinannya yang dekat dengan rakyat","Bukan CEO"
