"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","episode"
"1","Sunyi Coffee","https://yt3.ggpht.com/a/AGF-l79Wg6bFQWROoyDBRBEIgCTCFYqW_9SGUd140g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkqV2x7C5G4-ekywNwwtS_Q","UCkqV2x7C5G4-ekywNwwtS_Q","7_0V14TYVzc","Mini Series hasil kolaborasi dengan TropicanaSlim, dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli. Sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu. <br /><br />Sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan. Oleh karena itu, setiap like pada video <a href=""http://www.youtube.com/results?search_query=%23CeritaSunyi"">#CeritaSunyi</a> di YouTube akan dikonversikan menjadi Rp 500 untuk pengembangan Sunyi House of Coffee and Hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi.<br /><br />Ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti<br /><br />@tropicanaslim <br /><a href=""http://www.youtube.com/results?search_query=%23CeritaSunyi"">#CeritaSunyi</a> <a href=""http://www.youtube.com/results?search_query=%23SahabatSunyi"">#SahabatSunyi</a>","Mini Series hasil kolaborasi dengan TropicanaSlim, dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli. Sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu. 

Sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan. Oleh karena itu, setiap like pada video #CeritaSunyi di YouTube akan dikonversikan menjadi Rp 500 untuk pengembangan Sunyi House of Coffee and Hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi.

Ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti

@tropicanaslim 
#CeritaSunyi #SahabatSunyi","TRUE","none","16","2019-11-09T07:59:43.000Z","2019-11-09T07:59:43.000Z",1
"2","Ariva Azka","https://yt3.ggpht.com/a/AGF-l78YLJk1eeS3fbmd4BF6HHRGEM7zua-2C0x8Ew=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCYukaD4hOQv946Ty4rIKJtw","UCYukaD4hOQv946Ty4rIKJtw","7_0V14TYVzc","Aku mau nonton nya nanti aja satu tahun kemudian, biar kaya SORE dan JANJI wkwkk<br />Btw keren bgttttt web series tropocanaaa, sukses terus dlm berkarya","Aku mau nonton nya nanti aja satu tahun kemudian, biar kaya SORE dan JANJI wkwkk
Btw keren bgttttt web series tropocanaaa, sukses terus dlm berkarya","TRUE","none","0","2019-11-14T15:33:36.000Z","2019-11-14T15:33:36.000Z",1
"3","Irfan Parikesit","https://yt3.ggpht.com/a/AGF-l7-ZScpC4rsj27sFa625Vr5xVouf9ShoNdhUYA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCj5MdRLgrW_0DollKMLzCSg","UCj5MdRLgrW_0DollKMLzCSg","7_0V14TYVzc","oke mevvek tiba tiba pas paham","oke mevvek tiba tiba pas paham","TRUE","none","0","2019-11-10T14:32:47.000Z","2019-11-10T14:32:47.000Z",1
"4","Marcella Soenggono","https://yt3.ggpht.com/a/AGF-l79AW5Bdxz92Vc8G9nn37RPg56gdCe-OCzwPYQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1pH7RkAaUW1gU9a7r55MOw","UC1pH7RkAaUW1gU9a7r55MOw","7_0V14TYVzc","Brilliant idea... salut bgt tropicana","Brilliant idea... salut bgt tropicana","TRUE","none","0","2019-11-10T14:22:11.000Z","2019-11-10T14:22:11.000Z",1
"5","Farell S","https://yt3.ggpht.com/a/AGF-l7-PtYsMizHSHJY6Do56G16HSzc7jyvjwQ6zPw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClB9i5-MOrr4jWP_UKWikXQ","UClB9i5-MOrr4jWP_UKWikXQ","7_0V14TYVzc","Gold!","Gold!","TRUE","none","0","2019-11-10T12:36:34.000Z","2019-11-10T12:36:34.000Z",1
"6","Sachi Paramitha","https://yt3.ggpht.com/a/AGF-l7_pa4CH_mqtrMeb4r7lCt1estiNMX3r29B7Nw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6brCo8TQCsfzCU4X2yGimg","UC6brCo8TQCsfzCU4X2yGimg","7_0V14TYVzc","<U+2764><U+2764>","<U+2764><U+2764>","TRUE","none","0","2019-11-10T12:31:46.000Z","2019-11-10T12:31:46.000Z",1
"7","Pradana AJI","https://yt3.ggpht.com/a/AGF-l7--NjzJjJad8ZcdoNEL5YUFL56SYl2WDGy0bA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBw1p6YieoVURlBDecsgDsw","UCBw1p6YieoVURlBDecsgDsw","7_0V14TYVzc","was wondering around looking for good youtubing saking gabutnya, and i end up here. Sunyi Coffee ada di fatmawati guys, seluruh baristanya adalah teman teman disabilitas. Good coffee, extremely friendly barista, dan yang terpenting, hati lu berasa lebih puas dan tenang ngopi disana dibanding dimall","was wondering around looking for good youtubing saking gabutnya, and i end up here. Sunyi Coffee ada di fatmawati guys, seluruh baristanya adalah teman teman disabilitas. Good coffee, extremely friendly barista, dan yang terpenting, hati lu berasa lebih puas dan tenang ngopi disana dibanding dimall","TRUE","none","5","2019-11-09T16:40:08.000Z","2019-11-09T16:40:08.000Z",1
"8","sherlock homeless","https://yt3.ggpht.com/a/AGF-l7_yl1DYnH5NoALRA6WGOL-bjZQiEKyCdpvAJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIa4EzC0wXWkYvgVcoMdzGg","UCIa4EzC0wXWkYvgVcoMdzGg","7_0V14TYVzc","Astaga, lagi belajar sign language, ketemu ini kayak takdir. Suka sekali!","Astaga, lagi belajar sign language, ketemu ini kayak takdir. Suka sekali!","TRUE","none","0","2019-11-09T13:53:05.000Z","2019-11-09T13:53:05.000Z",1
"9","Sachi Paramitha","https://yt3.ggpht.com/a/AGF-l7_pa4CH_mqtrMeb4r7lCt1estiNMX3r29B7Nw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6brCo8TQCsfzCU4X2yGimg","UC6brCo8TQCsfzCU4X2yGimg","7_0V14TYVzc",":&quot;&quot;( gile tropicana main inklusivitas skrg mantap",":""""( gile tropicana main inklusivitas skrg mantap","TRUE","none","1","2019-11-09T06:15:30.000Z","2019-11-09T06:15:30.000Z",1
"10","zigi ziall","https://yt3.ggpht.com/a/AGF-l7_fz5C_Eqwmegvpi09VMOJW6KIGbAtOPycYcw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCVhtf9FXnRGELUQcyVlWgbg","UCVhtf9FXnRGELUQcyVlWgbg","7_0V14TYVzc","Yg ceweknya pemenang panah asmara arjuna kan yah hehe","Yg ceweknya pemenang panah asmara arjuna kan yah hehe","TRUE","none","0","2019-11-09T03:48:07.000Z","2019-11-09T03:48:07.000Z",1
