"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","textOriginal","likeCount","publishedAt","updatedAt","episode"
"1","Sunyi Coffee","https://yt3.ggpht.com/a/AGF-l79Wg6bFQWROoyDBRBEIgCTCFYqW_9SGUd140g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkqV2x7C5G4-ekywNwwtS_Q","mini series hasil kolaborasi dengan tropicanaslim dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu  sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan oleh karena itu setiap like pada video ceritasunyi di youtube akan dikonversikan menjadi rp 500 untuk pengembangan sunyi house of coffee and hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi  ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti  tropicanaslim ceritasunyi sahabatsunyi",16,2019-11-09 07:59:43,2019-11-09 07:59:43,1
"2","Ariva Azka","https://yt3.ggpht.com/a/AGF-l78YLJk1eeS3fbmd4BF6HHRGEM7zua-2C0x8Ew=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCYukaD4hOQv946Ty4rIKJtw","aku mau nonton nya nanti aja satu tahun kemudian biar kaya sore dan janji wkwkk btw keren bgttttt web series tropocanaaa sukses terus dlm berkarya",0,2019-11-14 15:33:36,2019-11-14 15:33:36,1
"3","Irfan Parikesit","https://yt3.ggpht.com/a/AGF-l7-ZScpC4rsj27sFa625Vr5xVouf9ShoNdhUYA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCj5MdRLgrW_0DollKMLzCSg","oke mevvek tiba tiba pas paham",0,2019-11-10 14:32:47,2019-11-10 14:32:47,1
"4","Marcella Soenggono","https://yt3.ggpht.com/a/AGF-l79AW5Bdxz92Vc8G9nn37RPg56gdCe-OCzwPYQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1pH7RkAaUW1gU9a7r55MOw","brilliant idea salut bgt tropicana",0,2019-11-10 14:22:11,2019-11-10 14:22:11,1
"5","Farell S","https://yt3.ggpht.com/a/AGF-l7-PtYsMizHSHJY6Do56G16HSzc7jyvjwQ6zPw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClB9i5-MOrr4jWP_UKWikXQ","gold ",0,2019-11-10 12:36:34,2019-11-10 12:36:34,1
"6","Sachi Paramitha","https://yt3.ggpht.com/a/AGF-l7_pa4CH_mqtrMeb4r7lCt1estiNMX3r29B7Nw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6brCo8TQCsfzCU4X2yGimg"," u2764 u2764 ",0,2019-11-10 12:31:46,2019-11-10 12:31:46,1
"7","Pradana AJI","https://yt3.ggpht.com/a/AGF-l7--NjzJjJad8ZcdoNEL5YUFL56SYl2WDGy0bA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBw1p6YieoVURlBDecsgDsw","was wondering around looking for good youtubing saking gabutnya and i end up here sunyi coffee ada di fatmawati guys seluruh baristanya adalah teman teman disabilitas good coffee extremely friendly barista dan yang terpenting hati lu berasa lebih puas dan tenang ngopi disana dibanding dimall",5,2019-11-09 16:40:08,2019-11-09 16:40:08,1
"8","sherlock homeless","https://yt3.ggpht.com/a/AGF-l7_yl1DYnH5NoALRA6WGOL-bjZQiEKyCdpvAJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIa4EzC0wXWkYvgVcoMdzGg","astaga lagi belajar sign language ketemu ini kayak takdir suka sekali ",0,2019-11-09 13:53:05,2019-11-09 13:53:05,1
"9","Sachi Paramitha","https://yt3.ggpht.com/a/AGF-l7_pa4CH_mqtrMeb4r7lCt1estiNMX3r29B7Nw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6brCo8TQCsfzCU4X2yGimg","  gile tropicana main inklusivitas skrg mantap",1,2019-11-09 06:15:30,2019-11-09 06:15:30,1
"10","zigi ziall","https://yt3.ggpht.com/a/AGF-l7_fz5C_Eqwmegvpi09VMOJW6KIGbAtOPycYcw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCVhtf9FXnRGELUQcyVlWgbg","yg ceweknya pemenang panah asmara arjuna kan yah hehe",0,2019-11-09 03:48:07,2019-11-09 03:48:07,1
"11","Mojito Boss","https://yt3.ggpht.com/a/AGF-l7_vY0ZHBeKVcVGQKM4ARUE3iqtxDSYVqWeo2g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2hzM1CfMrP6poUmgRbi1CA","saya baru paham di akhir gila dan katanya ini setiap likenya disumbangin kapan lagi bs nonton video baper sekalian donasi guys",1,2019-11-08 17:49:45,2019-11-08 17:49:45,1
"12","Ferlando Widjaya","https://yt3.ggpht.com/a/AGF-l7_DXO4Bdua3Ed-diAZyW6cFOH1EjlLnxOKl=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQKlfUu8MGinF4q5VPfSAwA","another bahan baper di kantor kamvret",0,2019-11-08 17:44:59,2019-11-08 17:44:59,1
"13","Nym Supriyanto","https://yt3.ggpht.com/a/AGF-l78XnfEgnIxyWthmk5-3v5QJHzUc5IGWkAx1pQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCySxOk59nxOea1Nbg8x7wdg","aktor nya tuli otomatis ini juga buat teman2 tuli tapi sayang gk ada subtitle nya ",0,2019-11-08 17:16:43,2019-11-08 17:16:43,1
