"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"1",1,"PT. Abdi Ummat Wisata International","ATTIN TOUR","Jl. Lap. Tembak No. 39, Ciracas, Jakarta Timur, DKI Jakarta, 13720",NA,"https://himpuh.or.id/daftar-anggota/detail/3/pt-abdi-ummat-wisata-international"
"2",2,"PT. Adzikra","PT. Adzikra","Pusat Niaga Duta Mas Fatmawati Blok C 2 No. 11-12, Jl. Fatmawati Raya No. 39, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12150",NA,"https://himpuh.or.id/daftar-anggota/detail/4/pt-adzikra"
"3",3,"PT. Aero Globe Indonesia","AEROHAJJ","Jl. Prajurit Kko Usman & Harun No. 32, Senen, Senen, Jakarta Pusat, DKI Jakarta, 10410",NA,"https://himpuh.or.id/daftar-anggota/detail/91/pt-aero-globe-indonesia"
"4",4,"PT. Aida Tourindo Wisata","AIDA TOURINDO WISATA","Jl. Cempaka Putih Tengah No. 33, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10510",NA,"https://himpuh.or.id/daftar-anggota/detail/1/pt-aida-tourindo-wisata"
"5",5,"PT. Al Ahram Sarana Wisata","AL AHRAM","Jl. Tebet Barat Ix No. 11, Tebet, Jakarta Selatan, DKI Jakarta, 12810",NA,"https://himpuh.or.id/daftar-anggota/detail/5/pt-al-ahram-sarana-wisata"
"6",6,"PT. Al Amanah","Al Amanah","Ruko Grand Flower A8 , Jl. Pasar Kembang No.4-6, Sawahan, Surabaya, Jawa Timur, -",NA,"https://himpuh.or.id/daftar-anggota/detail/355/pt-al-amanah"
"7",7,"PT. Al Amin Ahsan Travel","Alisan Tour & Travel","Graha Alisan, Jl. Asem Baris Raya No. 126/3, Kebon Baru, Tebet, Tebet, Jakarta Selatan, DKI Jakarta, 12830",NA,"https://himpuh.or.id/daftar-anggota/detail/195/pt-al-amin-ahsan-travel"
"8",8,"PT. Al Amin Mulia Lestari","DAQU TOUR & TRAVEL","Cbd Ciledug Blok A5 No. 21, Karang Tengah, Tangerang, Banten, 15157",NA,"https://himpuh.or.id/daftar-anggota/detail/2/pt-al-amin-mulia-lestari"
"9",9,"PT. Al Amsor Mubarokah","AMSOR TOUR","Jl. Duren Tiga Raya No. 101 Kav.a2, Cilandak, Jakarta Selatan, DKI Jakarta, 12760",NA,"https://himpuh.or.id/daftar-anggota/detail/145/pt-al-amsor-mubarokah"
"10",10,"PT. Al Fatihah Tour & Travel","AL-FATIHAH","Jl. Kalpataru 83 A, Lowokwaru, Malang, Jawa Timur, 65141",NA,"https://himpuh.or.id/daftar-anggota/detail/191/pt-al-fatihah-tour-travel"
