"nama";"bahan"
"1";"Spaghetti Panggang";"1 bungkus spaghetti"
"2";"Spaghetti Panggang";"200 g keju mozarella"
"3";"Spaghetti Panggang";"sambal atau saus sambal (opsional)"
"4";"Spaghetti Panggang";"saus putih/saus bechamel :"
"5";"Spaghetti Panggang";"55 g mentega tawar"
"6";"Spaghetti Panggang";"30 g tepung"
"7";"Spaghetti Panggang";"500 ml susu segar"
"8";"Spaghetti Panggang";"kaldu ayam (opsional)"
"9";"Spaghetti Panggang";"sejumput pala"
"10";"Spaghetti Panggang";"garam dan merica (sesuai selera)"
"11";"Spaghetti Panggang";"Saus bolognese: "
"12";"Spaghetti Panggang";"1 bawang bombay (dipotong)"
"13";"Spaghetti Panggang";"1 buah wortel (diparut)"
"14";"Spaghetti Panggang";"1 tangkai seledri (dicincang)"
"15";"Spaghetti Panggang";"2 sdm mentega tawar"
"16";"Spaghetti Panggang";"500 g daging cincang"
"17";"Spaghetti Panggang";"500 ml jus tomat (tomat segar/tomat kaleng) atau saus tomat"
"18";"Spaghetti Panggang";"garam dan merica (sesuai selera)"
"19";"Es Dawet";"50 g tepung tapioka"
"20";"Es Dawet";"125 g tepung beras"
"21";"Es Dawet";"450 ml air"
"22";"Es Dawet";"75 ml air daun suji atau daun pandan dari 10-12 helai daun (atau campuran daun suji dan daun pandan)"
"23";"Es Dawet";"½ sdt garam"
"24";"Es Dawet";"2 sdm air Iye/ Air Abu Gajah"
"25";"Es Dawet";"es batu untuk mendinginkan dawet jelly"
"26";"Es Dawet";"500 ml santan"
"27";"Es Dawet";"200 g gula jawa/brown sugar/gula aren"
"28";"Es Dawet";"7 potong nangka (potong menjadi ukuran 1x1 cm)"
"29";"Es Dawet";"singkong atau durian yang sudah difermentasi (opsional)"
"30";"Es Dawet";"es serut"
"31";"Bakso Mercon";"Bakso:"
"32";"Bakso Mercon";"500 g daging cincang (bagian lemak)"
"33";"Bakso Mercon";"6 sdm tepung tapioka"
"34";"Bakso Mercon";"2 sdm tepung"
"35";"Bakso Mercon";"garam dan merica secukupnya"
"36";"Bakso Mercon";"1 siung bawang putih"
"37";"Bakso Mercon";"1 es batu"
"38";"Bakso Mercon";"Sambal"
"39";"Bakso Mercon";"40 buah cabai rawit merah"
"40";"Bakso Mercon";"5 buah cabai merah keriting"
"41";"Bakso Mercon";"4 siung bawang putih"
"42";"Bakso Mercon";"1 sdm saus tomat"
"43";"Bakso Mercon";"1 sdm saus cabai"
"44";"Bakso Mercon";"garam dan merica secukupnya"
"45";"Bakso Mercon";"bubuk ayam secukupnya (opsional)"
"46";"Bakso Mercon";"minyak untuk menumis"
"47";"Rujak Aceh";"Saus mangga:"
"48";"Rujak Aceh";"4-5 mangga kweni (kamu dapat menggunakan mangga apapun untuk mengganti mangga kweni)"
"49";"Rujak Aceh";"5 cabai rawit merah"
"50";"Rujak Aceh";"70 g gula aren"
"51";"Rujak Aceh";"½ sdt garam"
"52";"Rujak Aceh";"100 ml air asam"
"53";"Rujak Aceh";"Buah:"
"54";"Rujak Aceh";"Nanas"
"55";"Rujak Aceh";"Kolang kaling (attap chee)"
"56";"Rujak Aceh";"Acar Timun"
"57";"Rujak Aceh";"Jambu Air"
"58";"Rujak Aceh";"Mangga"
"59";"Rujak Aceh";"Kastanye air"
"60";"Rujak Aceh";"Leci"
"61";"Rujak Aceh";"Acar Pepaya"
"62";"Rujak Aceh";"Acar Salak"
"63";"Sayur Lodeh khas Jawa";"1 ikan asap fillet (ikan pari), cuci bersih| kamu dapat menggunakan ikan apapun, ikan segar maupun ikan kering yang sudah direndam di air"
"64";"Sayur Lodeh khas Jawa";"4 buah tahu goreng (potong menjadi dua)"
"65";"Sayur Lodeh khas Jawa";"2 buah labu siam"
"66";"Sayur Lodeh khas Jawa";"5 buah kacang panjang (potong sepanjang 3 cm)"
"67";"Sayur Lodeh khas Jawa";"100 g daun melinjo muda (jika kamu tidak mendapatkan daun melinjo, gunakan bayam)"
"68";"Sayur Lodeh khas Jawa";"3 buah belimbing wuluh (belimbing wuluh untuk memberikan rasa asam pada kuah, tapi kamu juga bisa menggunakan cuka apel)"
"69";"Sayur Lodeh khas Jawa";"10 buah petai"
"70";"Sayur Lodeh khas Jawa";"1 buah tempe"
"71";"Sayur Lodeh khas Jawa";"750 ml air + 5sdm bubuk krimer (jika tidak memiliki krimer, kamu dapat menggunakan susu, semua jenis susu dapat digunakan, tapi untuk pilihan lebih sehat gunakan susu skim atau susu rendah lemak)"
"72";"Sayur Lodeh khas Jawa";"1 cm lengkuas (geprek)"
"73";"Sayur Lodeh khas Jawa";"2 daun salam"
"74";"Sayur Lodeh khas Jawa";"2 sdm minyak (untuk menumis)"
"75";"Sayur Lodeh khas Jawa";"bumbu (haluskan):"
"76";"Sayur Lodeh khas Jawa";"6 buah bawang merah"
"77";"Sayur Lodeh khas Jawa";"2 siung bawang putih"
"78";"Sayur Lodeh khas Jawa";"3 buah cabai merah (tanpa biji)"
"79";"Sayur Lodeh khas Jawa";"1 sdt kencur (dicincang)"
"80";"Sayur Lodeh khas Jawa";"½ sdt terasi"
"81";"Resep Cepat untuk Melilitkan Sate dengan Salada yang Menakjubkan";"1 paket sate ayam beku dengan saus (untuk digoreng)"
"82";"Resep Cepat untuk Melilitkan Sate dengan Salada yang Menakjubkan";"1 sdm minyak"
"83";"Resep Cepat untuk Melilitkan Sate dengan Salada yang Menakjubkan";"200 g selada romaine"
"84";"Resep Cepat untuk Melilitkan Sate dengan Salada yang Menakjubkan";"1 mentimun jepang"
"85";"Resep Cepat untuk Melilitkan Sate dengan Salada yang Menakjubkan";"½ bawang bombay merah (dikupas)"
"86";"Asinan";"300 g kacang (digoreng)"
"87";"Asinan";"2 pcs cabai merah besar"
"88";"Asinan";"70 g sawi hijau (Daun-daun)"
"89";"Asinan";"5 pcs cabai rawit"
"90";"Asinan";"1 lobak"
"91";"Asinan";"2 mentimun"
"92";"Asinan";"1 wortel"
"93";"Asinan";"Gula"
"94";"Asinan";"gula merah"
"95";"Asinan";"garam"
"96";"Asinan";"cuka"
"97";"Ayam Goreng Kunyit ";"½ potong ayam kecil-kecil"
"98";"Ayam Goreng Kunyit ";"(10 hingga 12 buah)"
"99";"Ayam Goreng Kunyit ";"1 buah bawang bombay besar"
"100";"Ayam Goreng Kunyit ";"2 siung bawang putih"
"101";"Ayam Goreng Kunyit ";"2 buah cabai merah"
"102";"Ayam Goreng Kunyit ";"1 buah wortel"
"103";"Ayam Goreng Kunyit ";"1 inch kunyit segar"
"104";"Ayam Goreng Kunyit ";"1 sdt bubuk kunyit"
"105";"Ayam Goreng Kunyit ";"2 sdm garam"
"106";"Ayam Goreng Kunyit ";"1 sdt gula pasir"
"107";"Ayam Goreng Kunyit ";"1 sdm kecap / amino cair/ liquid aminos"
"108";"Ayam Goreng Kunyit ";"1 sdm tepung jagung"
"109";"Ayam Goreng Kunyit ";"1 gelas minyak sayur untuk digoreng"
"110";"Ayam Betutu";"2 pcs paha ayam"
"111";"Ayam Betutu";"100 g daun tapioka/ daun singkong, direbus atau dikukus"
"112";"Ayam Betutu";"(gantikan dengan daun bayam)"
"113";"Ayam Betutu";"1 - 2 lembar daun pisang"
"114";"Ayam Betutu";"4 sdm air asam"
"115";"Ayam Betutu";"10 siung bawang merah"
"116";"Ayam Betutu";"5 siung bawang putih"
"117";"Ayam Betutu";"1 sdt bubuk kunyit"
"118";"Ayam Betutu";"1 sdt jahe"
"119";"Ayam Betutu";"1 sdt lengkuas"
"120";"Ayam Betutu";"5 kemiri (panggang)"
"121";"Ayam Betutu";"7 buah cabai merah besar"
"122";"Ayam Betutu";"5 buah cabai rawit"
"123";"Ayam Betutu";"(Thai pepper /cabai Thai)"
"124";"Ayam Betutu";"4 daun jeruk nipis"
"125";"Ayam Betutu";"½ sdt bubuk pala"
"126";"Ayam Betutu";"1 sdm liquid smoke/ smoke oil"
"127";"Ayam Betutu";"(pilihan)"
"128";"Ayam Betutu";"1 sdm sambal belacan"
"129";"Ayam Betutu";"(pasta udang pedas/ terasi)"
"130";"Ayam Betutu";"1 jeruk nipis"
"131";"Ayam Betutu";"(peras)"
"132";"Ayam Betutu";"1 sdm ketumbar"
"133";"Ayam Betutu";"2 sdm gula merah"
"134";"Ayam Betutu";"2 sdt garam"
"135";"Ayam Betutu";"1 sdt gula pasir"
"136";"Ayam Betutu";"1 sdt lada putih"
"137";"Ayam Betutu";"2 sdm minyak sayur"
"138";"Ayam Betutu";"(lebih banyak jika perlu)"
"139";"Ayam Gulai";"1 ayam utuh"
"140";"Ayam Gulai";"(potong menjadi 12 bagian)"
"141";"Ayam Gulai";"3 sdm minyak sayur"
"142";"Ayam Gulai";"250 cc santan cair"
"143";"Ayam Gulai";"125 cc santan"
"144";"Ayam Gulai";"1 sdm Ketumbar"
"145";"Ayam Gulai";"3 batang serai"
"146";"Ayam Gulai";"(memarkan)"
"147";"Ayam Gulai";"1 sdt adas"
"148";"Ayam Gulai";"bawang merah goreng"
"149";"Ayam Gulai";"(untuk hiasan)"
"150";"Ayam Gulai";"1 sdm jintan"
"151";"Ayam Gulai";"1 sdt kunyit"
"152";"Ayam Gulai";"pasta bumbu:"
"153";"Ayam Gulai";"15 bawang merah"
"154";"Ayam Gulai";"(irisan)"
"155";"Ayam Gulai";"10 cabai merah"
"156";"Ayam Gulai";"(rendam dalam air panas selama 20 menit dan sisihkan)"
"157";"Ayam Gulai";"1 lengkuas"
"158";"Ayam Gulai";"(ukuran jari)"
"159";"Ayam Gulai";"1 jahe"
"160";"Ayam Gulai";"6 kemiri"
"161";"Ayam Gulai";"(tumis)"
"162";"Ayam Gulai";"garam sesuai selera"
"163";"Ayam Masak Kicap";"½ ekor ayam lalu potong-potong (10 hingga 12 potong)"
"164";"Ayam Masak Kicap";"1 buah bawang bombai besar"
"165";"Ayam Masak Kicap";"2 siung bawang putih"
"166";"Ayam Masak Kicap";"2 buah cabai merah"
"167";"Ayam Masak Kicap";"¼ cup kecap manis / gula merah"
"168";"Ayam Masak Kicap";"¼ cup kecap asin / amino cair"
"169";"Ayam Masak Kicap";"(kecap bebas gluten)"
"170";"Ayam Masak Kicap";"2 sdm saus tiram /"
"171";"Ayam Masak Kicap";"saus tiram bebas gluten / 2 sdm kecap manis kental  / kecap kental bebas gluten"
"172";"Ayam Masak Kicap";"1 sdm garam"
"173";"Ayam Masak Kicap";"1 sdt lada hitam"
"174";"Ayam Masak Kicap";"1 sdm tepung jagung"
"175";"Ayam Masak Kicap";"1 gelas air"
"176";"Ayam Masak Kicap";"1 cangkir minyak sayur untuk digoreng"
"177";"Rendang Sapi";"300 g daging sapi"
"178";"Rendang Sapi";"500 ml santan"
"179";"Rendang Sapi";"5 lembar daun jeruk purut"
"180";"Rendang Sapi";"1 asam kandis"
"181";"Rendang Sapi";"1 daun kunyit"
"182";"Rendang Sapi";"2 daun sale"
"183";"Rendang Sapi";"2 pekak"
"184";"Rendang Sapi";"1 sdt garam"
"185";"Rendang Sapi";"1 sdt gula pasir"
"186";"Rendang Sapi";"½ sdt lada hitam"
"187";"Rendang Sapi";"minyak sayur"
"188";"Rendang Sapi";"pasta bumbu:"
"189";"Rendang Sapi";"7 hazelnut"
"190";"Rendang Sapi";"5 buah laos"
"191";"Rendang Sapi";"3 potong jahe"
"192";"Rendang Sapi";"6 cabai merah"
"193";"Rendang Sapi";"7 bawang merah"
"194";"Rendang Sapi";"7 siung bawang putih"
"195";"Rendang Sapi";"3 batang serai"
"196";"Nasi Panekuk dengan Kari Kelapa";"Telur dadar:"
"197";"Nasi Panekuk dengan Kari Kelapa";"125 g tepung beras"
"198";"Nasi Panekuk dengan Kari Kelapa";"30 g tepung tapioka"
"199";"Nasi Panekuk dengan Kari Kelapa";"1/2 sdt garam"
"200";"Nasi Panekuk dengan Kari Kelapa";"200 ml air mendidih + 250 ml air matang"
"201";"Nasi Panekuk dengan Kari Kelapa";"saus:"
"202";"Nasi Panekuk dengan Kari Kelapa";"50 g udang kering"
"203";"Nasi Panekuk dengan Kari Kelapa";"50 ml santan"
"204";"Nasi Panekuk dengan Kari Kelapa";"Lengkuas 4 cm (geprek)"
"205";"Nasi Panekuk dengan Kari Kelapa";"1 batang serai (geprek)"
"206";"Nasi Panekuk dengan Kari Kelapa";"1 daun salam"
"207";"Nasi Panekuk dengan Kari Kelapa";"2 daun jeruk"
"208";"Nasi Panekuk dengan Kari Kelapa";"garam (sesuai selera)"
"209";"Nasi Panekuk dengan Kari Kelapa";"gula pasir (sesuai selera)"
"210";"Nasi Panekuk dengan Kari Kelapa";"bubuk kaldu (sesuai selera)"
"211";"Nasi Panekuk dengan Kari Kelapa";"bumbu halus:"
"212";"Nasi Panekuk dengan Kari Kelapa";"5 siung bawang merah"
"213";"Nasi Panekuk dengan Kari Kelapa";"2 siung bawang putih"
"214";"Nasi Panekuk dengan Kari Kelapa";"1 sdt merica"
"215";"Nasi Panekuk dengan Kari Kelapa";"1 sdt biji ketumbar (dipanggang)"
"216";"Nasi Panekuk dengan Kari Kelapa";"kemiri panggang"
"217";"Nasi Panekuk dengan Kari Kelapa";"Jahe 5 cm"
"218";"Nasi Panekuk dengan Kari Kelapa";"Kunyit"
"219";"Nasi Panekuk dengan Kari Kelapa";"telur rebus"
"220";"Nasi Panekuk dengan Kari Kelapa";"Bawang goreng"
"221";"Cimol ";"300 g tepung tapioka"
"222";"Cimol ";"1 sdm tepung terigu"
"223";"Cimol ";"3 siung bawang putih (bubur)"
"224";"Cimol ";"350 ml air"
"225";"Cimol ";"1 sdt bubuk kaldu ayam"
"226";"Cimol ";"3/4 sdt garam"
"227";"Cimol ";"1 tangkai daun bawang"
"228";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 cup quinoa tiga warna (dicuci)"
"229";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 cup parutan kol merah"
"230";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"3 kacang panjang (potong 2 cm)"
"231";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 wortel (potong sepanjang batang korek)"
"232";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 cup tauge"
"233";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 tahu (potong dadu sedang)"
"234";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 pcs tempe (potong dadu sedang)"
"235";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 mentimun (potong dadu)"
"236";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 butir telur (rebus dan dipotong-potong)"
"237";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 cup air"
"238";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"3 sdm minyak goreng"
