"","resep","bahan"
"1","Gulai Daun Singkong","1 ikat daun singkong"
"2","Gulai Daun Singkong","1 liter santan"
"3","Gulai Daun Singkong","1 batang serai (geprek)"
"4","Gulai Daun Singkong","2 ruas lengkuas (geprek)"
"5","Gulai Daun Singkong","2 lembar daun salam"
"6","Gulai Daun Singkong","2 lembar daun jeruk"
"7","Gulai Daun Singkong","Secukupnya garam dan gula"
"8","Gulai Daun Singkong","Secukupnya minyak goreng"
"9","Gulai Daun Singkong","Secukupnya air putih"
"10","Gulai Daun Singkong","4 buah bawang merah"
"11","Gulai Daun Singkong","2 buah bawang putih"
"12","Gulai Daun Singkong","1 buah kemiri"
"13","Gulai Daun Singkong","1/2 sdt merica"
"14","Gulai Daun Singkong","1/2 sdt ketumbar"
"15","Gulai Daun Singkong","1 buah cabai merah besar"
"16","Bakso Aci isi abon","150 gr tepung tapioka"
"17","Bakso Aci isi abon","50 gr tepung terigu"
"18","Bakso Aci isi abon","1/4 sdt lada bubuk"
"19","Bakso Aci isi abon","1/2 sdt kaldu bubuk"
"20","Bakso Aci isi abon","130 ml air panas"
"21","Bakso Aci isi abon","Abon secukupnya untuk isian"
"22","Bakso Aci isi abon","Bumbu halus :"
"23","Bakso Aci isi abon","1 siung bawang putih"
"24","Bakso Aci isi abon","1/2 sdt garam"
"25","Semur daging sapi","6 sdt kecap manis"
"26","Semur daging sapi","2 sdt kecap asin"
"27","Semur daging sapi","3 sdt saus tiram"
"28","Semur daging sapi","1 sdt saus belibis"
"29","Semur daging sapi","secukupnya Garam"
"30","Semur daging sapi","secukupnya Gula pasir"
"31","Semur daging sapi","6 bh bawang merah"
"32","Semur daging sapi","3 bh bawang putih"
"33","Semur daging sapi","1/2 sdt pala bubuk"
"34","Semur daging sapi","1 sdt merica bubuk"
"35","Semur daging sapi","secukupnya Garam"
"36","Soto bening dengan kepala ayam","4 kepala ayam"
"37","Soto bening dengan kepala ayam","2 daun bawang"
"38","Soto bening dengan kepala ayam","2 daun jeruk"
"39","Soto bening dengan kepala ayam","1 batang sereh"
"40","Soto bening dengan kepala ayam","1 daun salam"
"41","Soto bening dengan kepala ayam","4 bawang putih"
"42","Soto bening dengan kepala ayam","3 bawang merah"
"43","Soto bening dengan kepala ayam","1/4 sdm merica bubuk"
"44","Soto bening dengan kepala ayam","1/4 sdm ketumbar bubuk"
"45","Soto bening dengan kepala ayam","secukupnya Minyak sayur"
"46","Sambal Rembang/Terong Asam","2 buah Rembang masak"
"47","Sambal Rembang/Terong Asam","16 buah cabe rawit"
"48","Sambal Rembang/Terong Asam","4 buah cabe merah keriting"
"49","Sambal Rembang/Terong Asam","2 siung bawang merah"
"50","Sambal Rembang/Terong Asam","3 siung bawang putih"
"51","Sambal Rembang/Terong Asam","1 sachet terasi"
"52","Sambal Rembang/Terong Asam","Minyak untuk menumis"
"53","Sambalado Ikan Lele","15 buah bawang merah"
"54","Sambalado Ikan Lele","7 siung bawang putih"
"55","Sambalado Ikan Lele","100 gram cabe merah keriting"
"56","Sambalado Ikan Lele","50 gram cabe rawit merah"
"57","Sambalado Ikan Lele","3 buah kemiri sangrai"
"58","Sambalado Ikan Lele","2 buah tomat"
"59","Sambalado Ikan Lele","1 batang serai, geprek"
"60","Sambalado Ikan Lele","2 ruas lengkuas, geprek"
"61","Sambalado Ikan Lele","1 sachet bumbu marinasi ikan"
"62","Sambalado Ikan Lele","Secukupnya garam dan gula"
"63","Pepes telur manyung","500 gram Telur manyung"
"64","Pepes telur manyung","80 gram putih telur"
"65","Pepes telur manyung","15 buah cabai merah"
"66","Pepes telur manyung","5 buah cabai rawit"
"67","Pepes telur manyung","3 siung bawang putih"
"68","Pepes telur manyung","4 siung bawang merah"
"69","Pepes telur manyung","1 sdm kaldu ayam"
"70","Pepes telur manyung","1 sdt merica"
"71","Sambal pedas Cumi","Cabai merah besar"
"72","Sambal pedas Cumi","Cabai keriting"
"73","Sambal pedas Cumi","Cabai besar hijau"
"74","Sambal pedas Cumi","Bawang merah"
"75","Pepes/ Paesan Tlengis/ Blondo","500 gram tlengis/ blondo"
"76","Pepes/ Paesan Tlengis/ Blondo","250 gram udang"
"77","Pepes/ Paesan Tlengis/ Blondo","1 ikat kemangi"
"78","Pepes/ Paesan Tlengis/ Blondo","Bumbu rajang"
"79","Pepes/ Paesan Tlengis/ Blondo","7 Bawang merah"
"80","Pepes/ Paesan Tlengis/ Blondo","5 bawang putih"
"81","Pepes/ Paesan Tlengis/ Blondo","2 ruas jari kunyit"
"82","Pepes/ Paesan Tlengis/ Blondo","2 ruas jari jahe"
"83","Pepes/ Paesan Tlengis/ Blondo","2 ruas jari laos"
"84","Pepes/ Paesan Tlengis/ Blondo","1 ruas jari kencur"
"85","Pepes/ Paesan Tlengis/ Blondo","2 sdt lada hitam"
"86","Pepes/ Paesan Tlengis/ Blondo","7 cabai rawit"
"87","73.sambel teri simpel","10 siung bamer"
"88","73.sambel teri simpel","2 buah terasi abc"
"89","73.sambel teri simpel","minyak untuk menumis"
"90","Sambal udang dan telor puyuh","20 butir telor puyuh"
"91","Sambal udang dan telor puyuh","2 tangkai daun bawang"
"92","Sambal udang dan telor puyuh","secukupnya Air"
"93","Sambal udang dan telor puyuh","3 siung bawang merah"
"94","Sambal udang dan telor puyuh","2 siung bawang putih"
