"","country_other","total_cases","total_deaths","deaths_1m_pop","rate"
"1","China",81518,3305,2,0.0405431929144483
"2","USA",163788,3141,9,0.019177229101033
"3","Italy",101739,11591,192,0.113928778541169
"4","Spain",87956,7716,165,0.0877256810223293
"5","Germany",66885,645,8,0.00964341780668311
"6","France",44550,3024,46,0.0678787878787879
"7","Iran",41495,2757,33,0.0664417399686709
"8","UK",22141,1408,21,0.0635924303328666
"9","Switzerland",15922,359,41,0.0225474186659967
"10","Belgium",11899,513,44,0.0431128666274477
"11","Netherlands",11750,864,50,0.073531914893617
"12","Turkey",10827,168,2,0.0155167636464395
"13","S. Korea",9661,158,3,0.0163544146568678
"14","Austria",9618,108,12,0.0112289457267623
"15","Canada",7448,89,2,0.0119495166487648
"16","Portugal",6408,140,14,0.0218476903870162
"17","Israel",4695,16,2,0.00340788072417465
"18","Brazil",4630,163,0.8,0.0352051835853132
"19","Australia",4460,19,0.7,0.00426008968609865
"20","Norway",4445,32,6,0.00719910011248594
"21","Sweden",4028,146,14,0.0362462760675273
"22","Czechia",3001,23,2,0.00766411196267911
"23","Ireland",2910,54,11,0.0185567010309278
"24","Malaysia",2626,37,1,0.0140898705255141
"25","Denmark",2577,77,13,0.0298797050834303
"26","Chile",2449,8,0.4,0.00326663944467129
"27","Romania",2109,65,3,0.0308202939781887
"28","Poland",2055,31,0.8,0.0150851581508516
"29","Luxembourg",1988,22,35,0.0110663983903421
"30","Ecuador",1966,62,4,0.0315361139369278
"31","Japan",1953,56,0.4,0.028673835125448
"32","Russia",1836,9,0.06,0.00490196078431373
"33","Pakistan",1717,21,0.1,0.0122306348281887
"34","Philippines",1546,78,0.7,0.0504527813712807
"35","Thailand",1524,9,0.1,0.00590551181102362
"36","Saudi Arabia",1453,8,0.2,0.00550584996558844
"37","Indonesia",1414,122,0.4,0.0862800565770863
"38","Finland",1352,13,2,0.00961538461538462
"39","South Africa",1326,3,0.05,0.00226244343891403
"40","India",1251,32,0.02,0.0255795363709033
"41","Greece",1212,46,4,0.037953795379538
"42","Iceland",1086,2,6,0.00184162062615101
"43","Panama",1075,27,6,0.0251162790697674
"44","Mexico",993,20,0.2,0.0201409869083585
"45","Peru",950,24,0.7,0.0252631578947368
"46","Dominican Republic",901,42,4,0.04661487236404
"47","Singapore",879,3,0.5,0.00341296928327645
"48","Argentina",820,23,0.5,0.0280487804878049
"49","Colombia",798,14,0.3,0.0175438596491228
"50","Croatia",790,6,1,0.00759493670886076
"51","Serbia",785,16,2,0.0203821656050955
"52","Slovenia",756,11,5,0.0145502645502645
"53","Estonia",715,3,2,0.0041958041958042
"54","Diamond Princess",712,10,NA,0.0140449438202247
"55","Qatar",693,1,0.3,0.00144300144300144
"56","Hong Kong",683,4,0.5,0.00585651537335286
"57","Egypt",656,41,0.4,0.0625
"58","Iraq",630,46,1,0.073015873015873
"59","UAE",611,5,0.5,0.00818330605564648
"60","New Zealand",589,1,0.2,0.00169779286926995
"61","Algeria",584,35,0.8,0.0599315068493151
"62","Morocco",556,33,0.9,0.0593525179856115
"63","Ukraine",548,13,0.3,0.0237226277372263
"64","Bahrain",515,4,2,0.00776699029126214
"65","Lithuania",491,7,3,0.0142566191446029
"66","Armenia",482,3,1,0.00622406639004149
"67","Hungary",447,15,2,0.0335570469798658
"68","Lebanon",446,11,2,0.0246636771300448
"69","Latvia",376,0,NA,0
"70","Andorra",370,8,104,0.0216216216216216
"71","Bosnia and Herzegovina",368,10,3,0.0271739130434783
"72","Tunisia",362,9,0.8,0.0248618784530387
"73","Bulgaria",359,8,1,0.0222841225626741
"74","Slovakia",336,0,NA,0
"75","Costa Rica",330,2,0.4,0.00606060606060606
"76","Uruguay",320,1,0.3,0.003125
"77","Taiwan",306,5,0.2,0.0163398692810458
"78","Kazakhstan",302,1,0.05,0.0033112582781457
"79","Moldova",298,2,0.5,0.00671140939597315
"80","North Macedonia",285,7,3,0.0245614035087719
"81","Azerbaijan",273,4,0.4,0.0146520146520147
"82","Jordan",268,5,0.5,0.0186567164179104
"83","Kuwait",266,0,NA,0
"84","Burkina Faso",246,12,0.6,0.048780487804878
"85","San Marino",230,25,737,0.108695652173913
"86","Cyprus",230,7,6,0.0304347826086957
"87","Réunion",224,0,NA,0
"88","Albania",223,11,4,0.0493273542600897
"89","Vietnam",204,0,NA,0
"90","Oman",179,0,NA,0
"91","Afghanistan",170,4,0.1,0.0235294117647059
"92","Cuba",170,4,0.4,0.0235294117647059
"93","Ivory Coast",168,1,0.04,0.00595238095238095
"94","Faeroe Islands",168,0,NA,0
"95","Senegal",162,0,NA,0
"96","Malta",156,0,NA,0
"97","Ghana",152,5,0.2,0.0328947368421053
"98","Belarus",152,0,NA,0
