tanggal,kecamatan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,isolasi_mandiri
2020-04-01,BELUM DIKETAHUI,1005,94,911,213,126,87,154,130,2,8,14
2020-04-01,CAKUNG,19,5,14,22,15,7,12,9,0,2,1
2020-04-01,CEMPAKA PUTIH,17,4,13,11,9,2,5,2,1,0,2
2020-04-01,CENGKARENG,28,8,20,10,7,3,9,6,0,2,1
2020-04-01,CILANDAK,37,8,29,41,24,17,22,10,3,3,6
2020-04-01,CILINCING,34,10,24,14,11,3,3,1,0,2,0
2020-04-01,CIPAYUNG,25,8,17,13,12,1,6,5,1,0,0
2020-04-01,CIRACAS,16,3,13,14,9,5,3,2,0,1,0
2020-04-01,DUREN SAWIT,37,6,31,20,16,4,26,16,0,7,3
2020-04-01,GAMBIR,14,5,9,7,7,0,4,1,0,2,1
2020-04-01,GROGOL PETAMBURAN,32,17,15,28,23,5,26,21,0,1,4
2020-04-01,JAGAKARSA,20,4,16,24,15,9,14,7,0,1,6
2020-04-01,JATINEGARA,16,4,12,11,7,4,11,7,0,1,3
2020-04-01,JOHAR BARU,8,4,4,5,4,1,8,4,1,1,2
2020-04-01,KALI DERES,26,4,22,30,25,5,34,20,1,2,11
2020-04-01,KEBAYORAN BARU,29,5,24,33,25,8,31,10,2,1,18
2020-04-01,KEBAYORAN LAMA,34,8,26,26,18,8,23,13,3,1,6
2020-04-01,KEBON JERUK,20,3,17,42,33,9,37,18,6,3,10
2020-04-01,KELAPA GADING,88,64,24,25,22,3,25,11,4,4,6
2020-04-01,KEMAYORAN,17,5,12,17,13,4,8,5,0,1,2
2020-04-01,KEMBANGAN,30,12,18,28,22,6,20,10,4,1,5
2020-04-01,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,KOJA,31,4,27,19,17,2,4,2,0,1,1
2020-04-01,KRAMAT JATI,25,9,16,23,15,8,15,7,1,1,6
2020-04-01,LUAR DKI JAKARTA,274,63,211,176,123,53,106,62,5,10,29
2020-04-01,MAKASAR,12,3,9,14,7,7,12,8,0,1,3
2020-04-01,MAMPANG PRAPATAN,22,8,14,13,6,7,11,4,3,3,1
2020-04-01,MATRAMAN,26,7,19,15,10,5,9,5,1,1,2
2020-04-01,MENTENG,17,9,8,8,6,2,7,3,0,2,2
2020-04-01,PADEMANGAN,14,6,8,6,5,1,4,2,0,2,0
2020-04-01,PALMERAH,17,3,14,10,8,2,11,6,0,0,5
2020-04-01,PANCORAN,17,2,15,14,8,6,6,5,1,0,0
2020-04-01,PASAR MINGGU,28,4,24,30,15,15,15,8,4,0,3
2020-04-01,PASAR REBO,11,4,7,15,10,5,9,2,2,3,2
2020-04-01,PENJARINGAN,43,10,33,29,19,10,9,6,0,3,0
2020-04-01,PESANGGRAHAN,19,0,19,21,18,3,16,3,0,6,7
2020-04-01,PULO GADUNG,54,4,50,31,21,10,15,9,0,3,3
2020-04-01,SAWAH BESAR,10,3,7,8,7,1,4,2,0,1,1
2020-04-01,SENEN,39,16,23,11,10,1,4,3,0,0,1
2020-04-01,SETIA BUDI,32,9,23,21,13,8,12,6,3,3,0
2020-04-01,TAMAN SARI,8,1,7,6,3,3,1,1,0,0,0
2020-04-01,TAMBORA,9,2,7,3,3,0,1,1,0,0,0
2020-04-01,TANAH ABANG,40,13,27,32,19,13,5,1,2,0,2
2020-04-01,TANJUNG PRIOK,50,35,15,29,23,6,13,8,1,1,3
2020-04-01,TEBET,22,3,19,21,13,8,24,19,0,3,2
2020-04-02,BELUM DIKETAHUI,1015,88,927,205,118,87,216,200,1,8,7
2020-04-02,CAKUNG,19,5,14,23,14,9,12,9,0,2,1
2020-04-02,CEMPAKA PUTIH,17,4,13,11,8,3,6,3,1,0,2
2020-04-02,CENGKARENG,28,8,20,10,7,3,9,6,0,2,1
2020-04-02,CILANDAK,40,8,32,42,25,17,22,10,3,3,6
2020-04-02,CILINCING,35,10,25,14,11,3,3,1,0,2,0
2020-04-02,CIPAYUNG,25,8,17,13,12,1,8,5,2,0,1
2020-04-02,CIRACAS,16,3,13,14,9,5,3,2,0,1,0
2020-04-02,DUREN SAWIT,40,6,34,20,16,4,29,18,0,8,3
2020-04-02,GAMBIR,14,5,9,7,7,0,5,1,0,2,2
2020-04-02,GROGOL PETAMBURAN,33,18,15,28,23,5,26,21,0,1,4
2020-04-02,JAGAKARSA,23,3,20,23,14,9,14,7,0,1,6
2020-04-02,JATINEGARA,16,4,12,11,7,4,12,7,0,1,4
2020-04-02,JOHAR BARU,8,3,5,5,4,1,8,4,1,1,2
2020-04-02,KALI DERES,26,4,22,30,25,5,34,20,1,2,11
2020-04-02,KEBAYORAN BARU,29,5,24,33,24,9,31,10,2,1,18
2020-04-02,KEBAYORAN LAMA,37,9,28,26,17,9,25,14,3,2,6
2020-04-02,KEBON JERUK,18,2,16,42,32,10,37,17,6,3,11
2020-04-02,KELAPA GADING,88,64,24,25,22,3,24,10,4,4,6
2020-04-02,KEMAYORAN,19,6,13,17,13,4,13,8,0,1,4
2020-04-02,KEMBANGAN,30,12,18,30,23,7,20,10,4,1,5
2020-04-02,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,KOJA,32,4,28,19,17,2,4,2,0,1,1
2020-04-02,KRAMAT JATI,25,9,16,23,15,8,15,6,1,1,7
2020-04-02,LUAR DKI JAKARTA,296,65,231,187,128,59,116,65,6,10,35
2020-04-02,MAKASAR,13,3,10,14,7,7,13,8,0,1,4
2020-04-02,MAMPANG PRAPATAN,24,8,16,13,6,7,11,4,3,3,1
2020-04-02,MATRAMAN,28,8,20,15,10,5,10,6,1,1,2
2020-04-02,MENTENG,17,9,8,8,6,2,8,4,0,2,2
2020-04-02,PADEMANGAN,15,6,9,6,5,1,4,2,0,2,0
2020-04-02,PALMERAH,17,3,14,10,8,2,11,6,0,0,5
2020-04-02,PANCORAN,17,2,15,14,8,6,6,5,1,0,0
2020-04-02,PASAR MINGGU,31,5,26,29,14,15,15,8,4,0,3
2020-04-02,PASAR REBO,11,4,7,15,10,5,10,3,2,3,2
2020-04-02,PENJARINGAN,46,10,36,30,19,11,9,6,0,3,0
2020-04-02,PESANGGRAHAN,20,0,20,22,19,3,16,3,0,6,7
2020-04-02,PULO GADUNG,55,4,51,31,21,10,15,9,0,3,3
2020-04-02,SAWAH BESAR,10,3,7,8,7,1,4,2,0,1,1
2020-04-02,SENEN,39,16,23,12,11,1,4,3,0,0,1
2020-04-02,SETIA BUDI,32,9,23,21,13,8,12,6,3,3,0
2020-04-02,TAMAN SARI,9,1,8,6,3,3,1,1,0,0,0
2020-04-02,TAMBORA,9,2,7,3,3,0,1,1,0,0,0
2020-04-02,TANAH ABANG,40,13,27,32,17,15,5,1,2,0,2
2020-04-02,TANJUNG PRIOK,53,35,18,29,23,6,14,9,1,1,3
2020-04-02,TEBET,23,3,20,21,13,8,24,19,0,3,2
2020-04-03,BELUM DIKETAHUI,1014,88,926,1009,120,889,235,216,2,11,6
2020-04-03,CAKUNG,20,6,14,25,16,9,12,9,0,2,1
2020-04-03,CEMPAKA PUTIH,17,4,13,11,8,3,7,4,1,0,2
2020-04-03,CENGKARENG,29,8,21,10,7,3,12,8,0,2,2
2020-04-03,CILANDAK,41,8,33,43,26,17,21,8,3,4,6
2020-04-03,CILINCING,37,10,27,14,11,3,4,2,0,2,0
2020-04-03,CIPAYUNG,26,8,18,15,14,1,8,5,2,0,1
2020-04-03,CIRACAS,17,4,13,14,9,5,5,2,1,1,1
2020-04-03,DUREN SAWIT,42,8,34,22,17,5,34,21,0,9,4
2020-04-03,GAMBIR,15,5,10,8,7,1,6,2,0,2,2
2020-04-03,GROGOL PETAMBURAN,34,18,16,27,22,5,30,21,2,3,4
2020-04-03,JAGAKARSA,23,3,20,24,14,10,16,8,0,1,7
2020-04-03,JATINEGARA,16,4,12,11,7,4,13,8,0,1,4
2020-04-03,JOHAR BARU,9,4,5,5,4,1,9,5,1,1,2
2020-04-03,KALI DERES,26,4,22,30,25,5,36,20,1,2,13
2020-04-03,KEBAYORAN BARU,30,5,25,34,25,9,32,11,2,1,18
2020-04-03,KEBAYORAN LAMA,39,9,30,27,18,9,26,15,3,2,6
2020-04-03,KEBON JERUK,18,2,16,43,32,11,43,21,6,3,13
2020-04-03,KELAPA GADING,88,64,24,28,25,3,27,12,4,4,7
2020-04-03,KEMAYORAN,23,7,16,18,14,4,13,8,0,1,4
2020-04-03,KEMBANGAN,30,12,18,31,24,7,20,10,4,1,5
2020-04-03,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,KOJA,37,5,32,20,18,2,6,4,0,1,1
2020-04-03,KRAMAT JATI,25,9,16,23,15,8,15,4,1,2,8
2020-04-03,LUAR DKI JAKARTA,306,67,239,192,131,61,136,82,6,10,38
2020-04-03,MAKASAR,14,4,10,14,7,7,13,8,0,1,4
2020-04-03,MAMPANG PRAPATAN,24,8,16,13,6,7,12,4,3,3,2
2020-04-03,MATRAMAN,31,8,23,15,10,5,11,4,1,1,5
2020-04-03,MENTENG,17,9,8,8,6,2,9,5,0,2,2
2020-04-03,PADEMANGAN,17,6,11,5,4,1,5,3,0,2,0
2020-04-03,PALMERAH,18,4,14,10,8,2,14,8,0,0,6
2020-04-03,PANCORAN,17,2,15,14,8,6,6,5,1,0,0
2020-04-03,PASAR MINGGU,32,5,27,29,14,15,16,9,4,0,3
2020-04-03,PASAR REBO,11,4,7,16,11,5,10,3,2,3,2
2020-04-03,PENJARINGAN,49,10,39,29,18,11,13,9,0,3,1
2020-04-03,PESANGGRAHAN,22,1,21,23,20,3,18,5,0,6,7
2020-04-03,PULO GADUNG,56,4,52,32,22,10,22,10,0,3,9
2020-04-03,SAWAH BESAR,11,3,8,8,7,1,4,2,0,1,1
2020-04-03,SENEN,39,16,23,12,11,1,4,3,0,0,1
2020-04-03,SETIA BUDI,32,9,23,20,12,8,14,7,3,3,1
2020-04-03,TAMAN SARI,9,1,8,8,5,3,2,1,0,0,1
2020-04-03,TAMBORA,10,2,8,4,4,0,2,2,0,0,0
2020-04-03,TANAH ABANG,40,13,27,35,20,15,7,3,2,0,2
2020-04-03,TANJUNG PRIOK,62,39,23,29,23,6,15,8,1,1,5
2020-04-03,TEBET,23,3,20,21,13,8,27,22,0,3,2
2020-04-04,BELUM DIKETAHUI,1014,88,926,1009,120,889,270,256,2,6,6
2020-04-04,CAKUNG,20,6,14,25,16,9,12,9,1,2,0
2020-04-04,CEMPAKA PUTIH,17,4,13,11,8,3,8,4,1,0,3
2020-04-04,CENGKARENG,29,8,21,10,7,3,12,8,0,2,2
2020-04-04,CILANDAK,41,8,33,43,26,17,22,9,3,4,6
2020-04-04,CILINCING,37,10,27,14,11,3,4,2,0,2,0
2020-04-04,CIPAYUNG,26,8,18,15,14,1,9,6,2,0,1
2020-04-04,CIRACAS,17,4,13,14,9,5,6,2,1,1,2
2020-04-04,DUREN SAWIT,42,8,34,22,17,5,35,22,0,9,4
2020-04-04,GAMBIR,15,5,10,8,7,1,7,3,0,2,2
2020-04-04,GROGOL PETAMBURAN,34,18,16,27,22,5,31,21,2,4,4
2020-04-04,JAGAKARSA,23,3,20,24,14,10,17,9,0,1,7
2020-04-04,JATINEGARA,16,4,12,11,7,4,16,10,0,1,5
2020-04-04,JOHAR BARU,9,4,5,6,5,1,9,5,1,1,2
2020-04-04,KALI DERES,26,4,22,30,25,5,39,21,1,3,14
2020-04-04,KEBAYORAN BARU,30,5,25,34,25,9,33,11,3,1,18
2020-04-04,KEBAYORAN LAMA,39,9,30,27,18,9,27,16,3,2,6
2020-04-04,KEBON JERUK,18,2,16,43,32,11,43,21,6,3,13
2020-04-04,KELAPA GADING,88,64,24,28,25,3,28,12,4,5,7
2020-04-04,KEMAYORAN,23,7,16,18,14,4,14,9,0,1,4
2020-04-04,KEMBANGAN,30,12,18,31,24,7,20,10,4,1,5
2020-04-04,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,KOJA,37,5,32,20,18,2,6,4,0,1,1
2020-04-04,KRAMAT JATI,25,9,16,23,15,8,17,4,1,2,10
2020-04-04,LUAR DKI JAKARTA,306,67,239,192,131,61,153,92,6,12,43
2020-04-04,MAKASAR,14,4,10,14,7,7,13,8,0,1,4
2020-04-04,MAMPANG PRAPATAN,24,8,16,13,6,7,12,4,3,3,2
2020-04-04,MATRAMAN,31,8,23,15,10,5,12,5,1,1,5
2020-04-04,MENTENG,17,9,8,8,6,2,9,5,0,2,2
2020-04-04,PADEMANGAN,17,6,11,5,4,1,6,4,0,2,0
2020-04-04,PALMERAH,18,4,14,10,8,2,16,10,0,0,6
2020-04-04,PANCORAN,17,2,15,15,9,6,6,5,1,0,0
2020-04-04,PASAR MINGGU,32,5,27,29,14,15,16,9,4,0,3
2020-04-04,PASAR REBO,11,4,7,16,11,5,10,3,2,3,2
2020-04-04,PENJARINGAN,49,10,39,29,18,11,14,10,0,3,1
2020-04-04,PESANGGRAHAN,22,1,21,23,20,3,19,5,0,6,8
2020-04-04,PULO GADUNG,56,4,52,32,22,10,22,10,0,3,9
2020-04-04,SAWAH BESAR,11,3,8,8,7,1,4,2,0,1,1
2020-04-04,SENEN,39,16,23,12,11,1,4,3,0,0,1
2020-04-04,SETIA BUDI,32,9,23,20,12,8,14,7,3,3,1
2020-04-04,TAMAN SARI,9,1,8,8,5,3,2,1,0,0,1
2020-04-04,TAMBORA,10,2,8,4,4,0,3,3,0,0,0
2020-04-04,TANAH ABANG,40,13,27,35,20,15,7,3,2,0,2
2020-04-04,TANJUNG PRIOK,62,39,23,29,23,6,16,8,1,2,5
2020-04-04,TEBET,23,3,20,21,13,8,28,23,0,3,2
2020-04-05,BELUM DIKETAHUI,1015,88,927,1017,127,890,283,265,2,10,6
2020-04-05,CAKUNG,20,6,14,26,17,9,14,10,1,2,1
2020-04-05,CEMPAKA PUTIH,17,4,13,11,8,3,9,4,1,1,3
2020-04-05,CENGKARENG,29,8,21,10,7,3,13,8,0,3,2
2020-04-05,CILANDAK,41,8,33,43,26,17,23,10,3,4,6
2020-04-05,CILINCING,37,10,27,15,12,3,4,2,0,2,0
2020-04-05,CIPAYUNG,26,8,18,17,16,1,9,6,2,0,1
2020-04-05,CIRACAS,17,4,13,15,10,5,8,3,1,2,2
2020-04-05,DUREN SAWIT,42,8,34,22,17,5,41,26,0,9,6
2020-04-05,GAMBIR,15,5,10,9,8,1,7,2,0,3,2
2020-04-05,GROGOL PETAMBURAN,34,18,16,27,22,5,32,21,2,4,5
2020-04-05,JAGAKARSA,23,3,20,24,14,10,18,10,0,1,7
2020-04-05,JATINEGARA,16,4,12,11,7,4,18,10,0,1,7
2020-04-05,JOHAR BARU,9,4,5,6,5,1,10,5,1,2,2
2020-04-05,KALI DERES,26,4,22,30,25,5,40,22,1,3,14
2020-04-05,KEBAYORAN BARU,30,5,25,35,26,9,34,12,3,1,18
2020-04-05,KEBAYORAN LAMA,39,9,30,27,18,9,31,18,3,2,8
2020-04-05,KEBON JERUK,18,2,16,43,32,11,44,21,6,3,14
2020-04-05,KELAPA GADING,88,64,24,29,26,3,30,12,4,6,8
2020-04-05,KEMAYORAN,23,7,16,18,14,4,15,9,0,2,4
2020-04-05,KEMBANGAN,30,12,18,32,25,7,21,11,4,1,5
2020-04-05,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,KOJA,37,5,32,20,18,2,9,5,0,1,3
2020-04-05,KRAMAT JATI,25,9,16,23,15,8,16,3,1,2,10
2020-04-05,LUAR DKI JAKARTA,306,67,239,194,133,61,163,99,6,12,46
2020-04-05,MAKASAR,14,4,10,14,7,7,14,9,0,1,4
2020-04-05,MAMPANG PRAPATAN,25,8,17,13,6,7,12,4,3,3,2
2020-04-05,MATRAMAN,32,8,24,15,10,5,13,5,1,1,6
2020-04-05,MENTENG,17,9,8,8,6,2,9,5,0,2,2
2020-04-05,PADEMANGAN,17,6,11,5,4,1,6,4,0,2,0
2020-04-05,PALMERAH,18,4,14,11,9,2,17,10,0,0,7
2020-04-05,PANCORAN,17,2,15,15,9,6,6,5,1,0,0
2020-04-05,PASAR MINGGU,32,5,27,29,14,15,18,10,4,1,3
2020-04-05,PASAR REBO,12,4,8,16,11,5,10,3,2,3,2
2020-04-05,PENJARINGAN,49,10,39,29,18,11,16,11,0,3,2
2020-04-05,PESANGGRAHAN,23,1,22,23,20,3,20,5,0,6,9
2020-04-05,PULO GADUNG,56,4,52,32,22,10,24,11,0,3,10
2020-04-05,SAWAH BESAR,11,3,8,8,7,1,5,2,0,1,2
2020-04-05,SENEN,39,16,23,12,11,1,5,3,0,0,2
2020-04-05,SETIA BUDI,32,9,23,20,12,8,14,7,3,3,1
2020-04-05,TAMAN SARI,9,1,8,8,5,3,2,1,0,0,1
2020-04-05,TAMBORA,10,2,8,4,4,0,3,3,0,0,0
2020-04-05,TANAH ABANG,41,13,28,37,22,15,9,4,2,0,3
2020-04-05,TANJUNG PRIOK,62,39,23,30,24,6,16,8,1,2,5
2020-04-05,TEBET,23,3,20,23,15,8,32,24,0,3,5
2020-04-06,BELUM DIKETAHUI,1016,88,928,1025,136,889,312,297,3,7,5
2020-04-06,CAKUNG,21,6,15,27,18,9,16,11,1,3,1
2020-04-06,CEMPAKA PUTIH,18,4,14,10,7,3,10,5,1,1,3
2020-04-06,CENGKARENG,30,8,22,10,7,3,14,8,0,3,3
2020-04-06,CILANDAK,42,8,34,43,26,17,23,10,3,4,6
2020-04-06,CILINCING,41,10,31,19,16,3,3,1,0,2,0
2020-04-06,CIPAYUNG,29,8,21,18,17,1,9,6,2,0,1
2020-04-06,CIRACAS,19,5,14,16,11,5,10,4,1,3,2
2020-04-06,DUREN SAWIT,43,8,35,22,17,5,46,27,0,9,10
2020-04-06,GAMBIR,15,5,10,9,8,1,7,2,0,3,2
2020-04-06,GROGOL PETAMBURAN,35,18,17,28,23,5,33,22,2,4,5
2020-04-06,JAGAKARSA,24,3,21,25,15,10,21,12,0,1,8
2020-04-06,JATINEGARA,17,5,12,11,7,4,19,11,0,1,7
2020-04-06,JOHAR BARU,9,4,5,6,5,1,10,5,2,2,1
2020-04-06,KALI DERES,26,4,22,30,25,5,47,24,1,4,18
2020-04-06,KEBAYORAN BARU,30,5,25,35,26,9,34,12,3,1,18
2020-04-06,KEBAYORAN LAMA,39,9,30,32,22,10,33,18,3,4,8
2020-04-06,KEBON JERUK,18,2,16,43,32,11,45,21,6,3,15
2020-04-06,KELAPA GADING,88,64,24,29,26,3,31,11,6,6,8
2020-04-06,KEMAYORAN,24,7,17,18,14,4,13,9,0,1,3
2020-04-06,KEMBANGAN,31,12,19,32,25,7,24,13,4,1,6
2020-04-06,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,KOJA,38,6,32,20,18,2,11,7,1,1,2
2020-04-06,KRAMAT JATI,25,9,16,24,16,8,17,3,1,2,11
2020-04-06,LUAR DKI JAKARTA,310,69,241,198,137,61,191,106,6,18,61
2020-04-06,MAKASAR,14,4,10,14,7,7,16,10,0,1,5
2020-04-06,MAMPANG PRAPATAN,25,8,17,14,7,7,14,5,3,3,3
2020-04-06,MATRAMAN,34,8,26,17,12,5,22,7,1,2,12
2020-04-06,MENTENG,17,9,8,8,6,2,11,4,1,4,2
2020-04-06,PADEMANGAN,17,6,11,5,4,1,6,4,0,2,0
2020-04-06,PALMERAH,18,4,14,12,10,2,18,11,0,0,7
2020-04-06,PANCORAN,17,2,15,15,9,6,7,5,1,0,1
2020-04-06,PASAR MINGGU,32,5,27,30,15,15,20,12,4,1,3
2020-04-06,PASAR REBO,12,4,8,17,12,5,10,3,2,3,2
2020-04-06,PENJARINGAN,49,10,39,29,18,11,20,12,1,4,3
2020-04-06,PESANGGRAHAN,23,1,22,23,20,3,23,6,0,7,10
2020-04-06,PULO GADUNG,56,4,52,32,22,10,25,11,0,3,11
2020-04-06,SAWAH BESAR,11,3,8,9,8,1,6,2,0,2,2
2020-04-06,SENEN,39,16,23,13,12,1,6,3,0,0,3
2020-04-06,SETIA BUDI,33,9,24,20,12,8,14,7,3,3,1
2020-04-06,TAMAN SARI,9,1,8,8,5,3,2,2,0,0,0
2020-04-06,TAMBORA,10,2,8,4,4,0,4,3,0,1,0
2020-04-06,TANAH ABANG,42,13,29,39,24,15,11,5,2,1,3
2020-04-06,TANJUNG PRIOK,62,39,23,35,29,6,16,7,2,2,5
2020-04-06,TEBET,23,3,20,24,16,8,38,24,1,3,10
2020-04-07,BELUM DIKETAHUI,1017,86,931,1031,143,888,363,349,3,5,6
2020-04-07,CAKUNG,22,6,16,31,21,10,16,11,1,3,1
2020-04-07,CEMPAKA PUTIH,18,4,14,10,7,3,11,6,1,1,3
2020-04-07,CENGKARENG,31,8,23,11,7,4,17,8,0,3,6
2020-04-07,CILANDAK,44,8,36,45,28,17,29,13,3,5,8
2020-04-07,CILINCING,43,10,33,21,17,4,3,1,0,2,0
2020-04-07,CIPAYUNG,31,10,21,20,19,1,9,6,2,0,1
2020-04-07,CIRACAS,21,5,16,17,12,5,10,4,1,3,2
2020-04-07,DUREN SAWIT,44,8,36,24,19,5,48,28,0,9,11
2020-04-07,GAMBIR,16,5,11,18,15,3,7,2,0,3,2
2020-04-07,GROGOL PETAMBURAN,35,18,17,34,27,7,34,23,2,4,5
2020-04-07,JAGAKARSA,25,3,22,27,17,10,22,13,0,1,8
2020-04-07,JATINEGARA,19,7,12,14,10,4,24,11,0,1,12
2020-04-07,JOHAR BARU,10,4,6,7,6,1,10,5,2,2,1
2020-04-07,KALI DERES,27,5,22,30,25,5,47,24,1,4,18
2020-04-07,KEBAYORAN BARU,31,6,25,41,32,9,36,12,3,3,18
2020-04-07,KEBAYORAN LAMA,40,9,31,32,22,10,38,20,3,5,10
2020-04-07,KEBON JERUK,18,2,16,45,34,11,47,20,7,3,17
2020-04-07,KELAPA GADING,88,64,24,31,28,3,32,12,6,6,8
2020-04-07,KEMAYORAN,24,7,17,21,17,4,14,10,0,1,3
2020-04-07,KEMBANGAN,32,13,19,35,28,7,27,13,4,1,9
2020-04-07,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
