tanggal,kecamatan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,isolasi_mandiri
2020-06-01,BELUM DIKETAHUI,4534,308,4226,3315,608,2707,623,170,29,5,419
2020-06-01,CAKUNG,415,7,408,112,6,106,124,32,39,9,44
2020-06-01,CEMPAKA PUTIH,761,6,755,192,7,185,94,20,46,7,21
2020-06-01,CENGKARENG,638,3,635,99,17,82,139,36,39,11,53
2020-06-01,CILANDAK,474,1,473,180,9,171,94,15,45,14,20
2020-06-01,CILINCING,767,18,749,106,15,91,103,22,17,8,56
2020-06-01,CIPAYUNG,360,5,355,108,6,102,69,19,26,1,23
2020-06-01,CIRACAS,405,6,399,89,4,85,63,17,21,8,17
2020-06-01,DUREN SAWIT,816,14,802,153,2,151,255,44,81,25,105
2020-06-01,GAMBIR,313,6,307,68,7,61,50,14,17,6,13
2020-06-01,GROGOL PETAMBURAN,605,5,600,157,8,149,162,39,71,13,39
2020-06-01,JAGAKARSA,634,14,620,153,7,146,97,23,35,8,31
2020-06-01,JATINEGARA,374,4,370,60,1,59,148,37,48,13,50
2020-06-01,JOHAR BARU,448,1,447,69,4,65,72,14,20,12,26
2020-06-01,KALI DERES,614,7,607,194,13,181,122,27,67,11,17
2020-06-01,KEBAYORAN BARU,212,1,211,109,4,105,73,11,47,3,12
2020-06-01,KEBAYORAN LAMA,460,4,456,175,6,169,140,40,53,18,29
2020-06-01,KEBON JERUK,1120,11,1109,191,16,175,184,49,75,15,45
2020-06-01,KELAPA GADING,602,0,602,166,3,163,117,26,55,9,27
2020-06-01,KEMAYORAN,459,17,442,169,12,157,141,28,40,14,59
2020-06-01,KEMBANGAN,304,11,293,126,10,116,132,25,46,7,54
2020-06-01,KEP. SERIBU SELATAN,242,1,241,5,0,5,13,3,6,0,4
2020-06-01,KEP. SERIBU UTARA,223,0,223,14,0,14,1,0,0,0,1
2020-06-01,KOJA,685,12,673,233,14,219,129,32,25,8,64
2020-06-01,KRAMAT JATI,353,7,346,83,21,62,148,39,44,14,51
2020-06-01,LUAR DKI JAKARTA,6570,449,6121,2248,313,1935,1447,413,512,72,450
2020-06-01,MAKASAR,205,2,203,53,6,47,68,16,34,7,11
2020-06-01,MAMPANG PRAPATAN,381,2,379,48,2,46,58,15,23,7,13
2020-06-01,MATRAMAN,713,7,706,114,2,112,139,34,42,12,51
2020-06-01,MENTENG,298,3,295,60,2,58,74,25,23,9,17
2020-06-01,PADEMANGAN,1499,32,1467,113,15,98,191,39,28,8,116
2020-06-01,PALMERAH,732,16,716,242,18,224,181,46,56,15,64
2020-06-01,PANCORAN,471,1,470,71,0,71,64,17,27,3,17
2020-06-01,PASAR MINGGU,637,6,631,173,7,166,117,26,41,14,36
2020-06-01,PASAR REBO,252,4,248,51,2,49,56,11,20,4,21
2020-06-01,PENJARINGAN,730,3,727,99,6,93,182,31,38,11,102
2020-06-01,PESANGGRAHAN,313,4,309,115,11,104,82,17,33,16,16
2020-06-01,PULO GADUNG,459,2,457,133,4,129,141,38,65,12,26
2020-06-01,SAWAH BESAR,293,12,281,194,16,178,92,41,25,8,18
2020-06-01,SENEN,577,5,572,84,4,80,120,36,25,4,55
2020-06-01,SETIA BUDI,284,5,279,68,2,66,67,15,29,9,14
2020-06-01,TAMAN SARI,210,4,206,63,13,50,105,25,30,6,44
2020-06-01,TAMBORA,311,5,306,101,21,80,145,24,9,10,102
2020-06-01,TANAH ABANG,974,5,969,194,8,186,337,55,72,17,193
2020-06-01,TANJUNG PRIOK,1046,17,1029,324,11,313,291,64,63,26,138
2020-06-01,TEBET,398,5,393,121,5,116,133,24,59,12,38
2020-06-02,BELUM DIKETAHUI,4562,312,4250,3304,606,2698,626,187,31,4,404
2020-06-02,CAKUNG,416,7,409,113,6,107,125,31,42,9,43
2020-06-02,CEMPAKA PUTIH,764,6,758,192,7,185,95,18,48,7,22
2020-06-02,CENGKARENG,640,3,637,100,17,83,140,35,40,11,54
2020-06-02,CILANDAK,476,1,475,180,9,171,93,15,45,14,19
2020-06-02,CILINCING,774,18,756,110,19,91,104,19,21,9,55
2020-06-02,CIPAYUNG,360,5,355,109,7,102,69,18,28,1,22
2020-06-02,CIRACAS,406,6,400,89,4,85,62,16,23,8,15
2020-06-02,DUREN SAWIT,842,14,828,159,2,157,265,43,83,25,114
2020-06-02,GAMBIR,313,6,307,68,7,61,51,8,30,7,6
2020-06-02,GROGOL PETAMBURAN,606,5,601,157,8,149,163,36,75,13,39
2020-06-02,JAGAKARSA,636,14,622,154,8,146,97,22,36,8,31
2020-06-02,JATINEGARA,375,4,371,60,1,59,150,37,48,13,52
2020-06-02,JOHAR BARU,457,1,456,69,4,65,71,13,20,12,26
2020-06-02,KALI DERES,617,7,610,194,13,181,122,27,67,12,16
2020-06-02,KEBAYORAN BARU,216,1,215,109,4,105,73,10,49,3,11
2020-06-02,KEBAYORAN LAMA,462,4,458,175,6,169,140,38,57,18,27
