tanggal,kecamatan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,isolasi_mandiri
2020-03-25,BELUM DIKETAHUI,774,86,688,177,115,62,89,58,2,3,26
2020-03-25,CAKUNG,10,1,9,10,6,4,8,6,0,2,0
2020-03-25,CEMPAKA PUTIH,14,2,12,5,3,2,3,1,1,0,1
2020-03-25,CENGKARENG,24,8,16,6,4,2,6,5,0,1,0
2020-03-25,CILANDAK,31,8,23,31,18,13,12,7,0,1,4
2020-03-25,CILINCING,21,5,16,4,2,2,2,0,0,1,1
2020-03-25,CIPAYUNG,19,7,12,6,5,1,1,1,0,0,0
2020-03-25,CIRACAS,12,1,11,9,4,5,3,2,0,1,0
2020-03-25,DUREN SAWIT,28,6,22,12,10,2,11,7,0,2,2
2020-03-25,GAMBIR,22,17,5,3,3,0,1,1,0,0,0
2020-03-25,GROGOL PETAMBURAN,26,16,10,22,18,4,16,14,0,0,2
2020-03-25,JAGAKARSA,11,2,9,20,12,8,8,4,0,1,3
2020-03-25,JATINEGARA,10,1,9,4,3,1,2,2,0,0,0
2020-03-25,JOHAR BARU,4,1,3,4,3,1,5,1,1,1,2
2020-03-25,KALI DERES,22,4,18,31,27,4,26,19,0,0,7
2020-03-25,KEBAYORAN BARU,21,5,16,23,17,6,20,7,1,1,11
2020-03-25,KEBAYORAN LAMA,21,4,17,23,16,7,14,10,1,1,2
2020-03-25,KEBON JERUK,13,2,11,34,26,8,22,13,0,3,6
2020-03-25,KELAPA GADING,85,67,18,17,15,2,13,9,0,2,2
2020-03-25,KEMAYORAN,9,1,8,7,5,2,4,3,0,1,0
2020-03-25,KEMBANGAN,21,9,12,19,15,4,14,9,1,0,4
2020-03-25,KEP. SERIBU SELATAN,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,KEP. SERIBU UTARA,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,KOJA,19,3,16,9,8,1,3,2,0,0,1
2020-03-25,KRAMAT JATI,13,4,9,19,11,8,7,2,1,0,4
2020-03-25,LUAR DKI JAKARTA,203,45,158,140,98,42,46,26,1,2,17
2020-03-25,MAKASAR,9,2,7,11,7,4,7,5,0,2,0
2020-03-25,MAMPANG PRAPATAN,17,7,10,11,5,6,8,3,3,1,1
2020-03-25,MATRAMAN,15,5,10,10,5,5,6,4,1,1,0
2020-03-25,MENTENG,15,9,6,5,4,1,2,1,0,0,1
2020-03-25,PADEMANGAN,12,7,5,2,2,0,1,1,0,0,0
2020-03-25,PALMERAH,11,2,9,9,7,2,5,2,0,0,3
2020-03-25,PANCORAN,8,2,6,9,6,3,4,3,1,0,0
2020-03-25,PASAR MINGGU,16,5,11,17,10,7,10,5,3,0,2
2020-03-25,PASAR REBO,6,3,3,10,7,3,4,1,1,1,1
2020-03-25,PENJARINGAN,35,11,24,14,7,7,6,4,0,2,0
2020-03-25,PESANGGRAHAN,18,0,18,16,14,2,10,3,0,2,5
2020-03-25,PULO GADUNG,42,0,42,22,14,8,10,7,0,1,2
2020-03-25,SAWAH BESAR,6,1,5,2,1,1,1,1,0,0,0
2020-03-25,SENEN,57,36,21,6,5,1,2,1,0,0,1
2020-03-25,SETIA BUDI,19,7,12,16,8,8,10,6,3,1,0
2020-03-25,TAMAN SARI,3,0,3,4,2,2,1,1,0,0,0
2020-03-25,TAMBORA,5,1,4,1,1,0,0,0,0,0,0
2020-03-25,TANAH ABANG,26,9,17,21,8,13,4,1,2,0,1
2020-03-25,TANJUNG PRIOK,46,34,12,17,12,5,5,3,1,0,1
2020-03-25,TEBET,16,2,14,16,10,6,8,5,0,3,0
