tanggal,kecamatan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,isolasi_mandiri
2020-05-01,BELUM DIKETAHUI,2656,49,2607,2752,150,2602,411,340,13,6,52
2020-05-01,CAKUNG,161,3,158,64,27,37,80,37,10,9,24
2020-05-01,CEMPAKA PUTIH,177,2,175,61,13,48,75,33,5,7,30
2020-05-01,CENGKARENG,58,2,56,30,7,23,75,39,7,8,21
2020-05-01,CILANDAK,89,5,84,63,13,50,76,31,12,14,19
2020-05-01,CILINCING,205,4,201,43,20,23,44,23,0,5,16
2020-05-01,CIPAYUNG,77,5,72,39,20,19,39,23,5,1,10
2020-05-01,CIRACAS,108,3,105,42,14,28,42,19,4,5,14
2020-05-01,DUREN SAWIT,101,1,100,44,26,18,141,69,12,23,37
2020-05-01,GAMBIR,90,5,85,30,17,13,34,13,3,6,12
2020-05-01,GROGOL PETAMBURAN,102,2,100,39,13,26,99,41,27,11,20
2020-05-01,JAGAKARSA,65,0,65,45,10,35,69,31,7,5,26
2020-05-01,JATINEGARA,48,4,44,26,10,16,75,39,1,9,26
2020-05-01,JOHAR BARU,114,1,113,35,15,20,40,12,6,7,15
2020-05-01,KALI DERES,67,2,65,44,12,32,96,35,23,9,29
2020-05-01,KEBAYORAN BARU,60,4,56,54,31,23,58,21,26,3,8
2020-05-01,KEBAYORAN LAMA,70,2,68,42,21,21,92,39,12,15,26
2020-05-01,KEBON JERUK,125,2,123,61,20,41,118,53,18,11,36
2020-05-01,KELAPA GADING,208,1,207,77,20,57,89,34,16,7,32
2020-05-01,KEMAYORAN,170,8,162,74,36,38,73,22,5,12,34
2020-05-01,KEMBANGAN,51,3,48,39,17,22,75,30,16,4,25
2020-05-01,KEP. SERIBU SELATAN,37,1,36,4,0,4,9,0,0,0,9
2020-05-01,KEP. SERIBU UTARA,102,2,100,12,1,11,1,0,0,0,1
2020-05-01,KOJA,145,8,137,58,21,37,58,27,3,2,26
2020-05-01,KRAMAT JATI,57,2,55,33,15,18,74,25,5,8,36
2020-05-01,LUAR DKI JAKARTA,1340,24,1316,911,120,791,776,434,65,54,223
2020-05-01,MAKASAR,37,2,35,23,5,18,49,24,9,7,9
2020-05-01,MAMPANG PRAPATAN,93,1,92,26,12,14,38,14,6,6,12
2020-05-01,MATRAMAN,139,7,132,65,23,42,79,37,4,8,30
2020-05-01,MENTENG,57,0,57,24,10,14,53,25,6,8,14
2020-05-01,PADEMANGAN,100,4,96,30,9,21,74,24,4,6,40
2020-05-01,PALMERAH,73,3,70,35,16,19,73,33,9,6,25
2020-05-01,PANCORAN,43,1,42,27,8,19,43,26,5,3,9
2020-05-01,PASAR MINGGU,152,5,147,53,18,35,82,37,11,12,22
