"","id","banyak_calon_resp","berapa_hari"
"1",1,4691,148
"2",2,4462,141
"3",3,4203,128
"4",4,4538,139
"5",5,4602,144
"6",6,4443,137
"7",7,5055,156
"8",8,3628,115
"9",9,4439,138
"10",10,4320,135
"11",11,3948,124
"12",12,4366,137
"13",13,4376,134
"14",14,3953,121
"15",15,5241,164
"16",16,3383,105
"17",17,4868,150
"18",18,4597,139
"19",19,4086,125
"20",20,4790,148
"21",21,4260,132
"22",22,4160,129
"23",23,4201,130
"24",24,3920,120
"25",25,4526,140
"26",26,4519,141
"27",27,4127,125
"28",28,5318,166
"29",29,4264,131
"30",30,4195,129
"31",31,4760,148
"32",32,4473,138
"33",33,3948,120
"34",34,4842,148
"35",35,4412,138
"36",36,3571,110
"37",37,3870,120
"38",38,4404,137
"39",39,4334,131
"40",40,4221,128
"41",41,4598,142
"42",42,5173,158
"43",43,4481,138
"44",44,4995,156
"45",45,4582,141
"46",46,3793,118
"47",47,5446,168
"48",48,4985,155
"49",49,3456,108
"50",50,5057,158
"51",51,4723,146
"52",52,4250,131
"53",53,4345,132
"54",54,3986,124
"55",55,4557,139
"56",56,5206,161
"57",57,4181,127
"58",58,4686,145
"59",59,4167,127
"60",60,4934,152
"61",61,3961,122
"62",62,4794,149
"63",63,4278,132
"64",64,4117,127
"65",65,4291,133
"66",66,3730,116
"67",67,5188,161
"68",68,5847,182
"69",69,4088,127
"70",70,5023,158
"71",71,4672,144
"72",72,4667,145
"73",73,3664,113
"74",74,4597,143
"75",75,5573,175
"76",76,4186,131
"77",77,4254,129
"78",78,4012,122
"79",79,5496,170
"80",80,3920,122
"81",81,3842,117
"82",82,4737,146
"83",83,5096,160
"84",84,4309,134
"85",85,4818,148
"86",86,4814,147
"87",87,4563,139
"88",88,4658,143
"89",89,4287,134
"90",90,5386,168
"91",91,5260,166
"92",92,4962,151
"93",93,4410,136
"94",94,4645,144
"95",95,4568,140
"96",96,3942,123
"97",97,4200,130
"98",98,4489,138
"99",99,4658,145
"100",100,5341,164
"101",101,4834,151
"102",102,4327,136
"103",103,4297,133
"104",104,4267,132
"105",105,4934,149
"106",106,3570,110
"107",107,5434,168
"108",108,4289,132
"109",109,4905,151
"110",110,4992,155
"111",111,5185,160
"112",112,4220,131
"113",113,4026,125
"114",114,5450,168
"115",115,5388,165
"116",116,4016,127
"117",117,4196,131
"118",118,4573,142
"119",119,4321,133
"120",120,4183,129
"121",121,4257,132
"122",122,4862,152
"123",123,4765,150
"124",124,5490,168
"125",125,4939,150
"126",126,3961,121
"127",127,4106,130
"128",128,4153,128
"129",129,4299,132
"130",130,4792,147
"131",131,4174,128
"132",132,4542,141
"133",133,5057,154
"134",134,3894,119
"135",135,4396,138
"136",136,3758,115
"137",137,4542,141
"138",138,4159,125
"139",139,4720,147
"140",140,4317,133
"141",141,5033,155
"142",142,4767,147
"143",143,3547,109
"144",144,4325,134
"145",145,4425,138
"146",146,3974,123
"147",147,3528,107
"148",148,4772,146
"149",149,4266,131
"150",150,4325,134
"151",151,5062,157
"152",152,4467,136
"153",153,4293,133
"154",154,5068,158
"155",155,4870,150
"156",156,3914,121
"157",157,4605,142
"158",158,3857,120
"159",159,4401,138
"160",160,5271,164
"161",161,5321,166
"162",162,4314,135
"163",163,4733,146
"164",164,4212,130
"165",165,5557,173
"166",166,4062,126
"167",167,4078,125
"168",168,4291,134
"169",169,4331,134
"170",170,4229,130
"171",171,4436,139
"172",172,4479,140
"173",173,5151,160
"174",174,5311,166
"175",175,4059,125
"176",176,4545,140
"177",177,4082,126
"178",178,4285,134
"179",179,5374,165
"180",180,4091,126
"181",181,5100,159
"182",182,4463,138
"183",183,3954,123
"184",184,4491,139
"185",185,4260,131
"186",186,4493,141
"187",187,4570,143
"188",188,3961,122
"189",189,4715,147
"190",190,3938,119
"191",191,5339,165
"192",192,3819,119
"193",193,3205,97
"194",194,4949,155
"195",195,3832,119
"196",196,4629,145
"197",197,4686,145
"198",198,4367,134
"199",199,4169,129
"200",200,5642,172
"201",201,4224,130
"202",202,4914,152
"203",203,4741,146
"204",204,4036,125
"205",205,4188,129
"206",206,5353,165
"207",207,4136,127
"208",208,4250,134
"209",209,4813,147
"210",210,4659,143
"211",211,4357,135
"212",212,4347,134
"213",213,4546,140
"214",214,4774,149
"215",215,4609,144
"216",216,4535,141
"217",217,3779,115
"218",218,4981,153
"219",219,5167,162
"220",220,4934,153
"221",221,4028,123
"222",222,4536,141
"223",223,3739,113
"224",224,5056,158
"225",225,4843,150
"226",226,4087,126
"227",227,4130,126
"228",228,5260,162
"229",229,5163,162
"230",230,5154,159
"231",231,4445,140
"232",232,4775,146
"233",233,3921,120
"234",234,3513,108
"235",235,4571,142
"236",236,4667,144
"237",237,4067,125
"238",238,4013,122
"239",239,4836,149
"240",240,4785,146
"241",241,3925,120
"242",242,5262,162
"243",243,5103,156
"244",244,3554,109
"245",245,4126,128
"246",246,4507,140
"247",247,4645,142
"248",248,4095,126
"249",249,3888,121
"250",250,4642,141
"251",251,4979,157
"252",252,5130,159
"253",253,4197,130
"254",254,3703,114
"255",255,4223,131
"256",256,4488,140
"257",257,4062,126
"258",258,5309,161
"259",259,5141,160
"260",260,4119,127
"261",261,4076,127
"262",262,3975,125
"263",263,4437,138
"264",264,4274,134
"265",265,4756,146
"266",266,4714,147
"267",267,4469,138
"268",268,4506,141
"269",269,4152,127
"270",270,4425,136
"271",271,4521,140
"272",272,4180,130
"273",273,3375,105
"274",274,5124,159
"275",275,5258,162
"276",276,3314,103
"277",277,4794,146
"278",278,3793,117
"279",279,3902,119
"280",280,4689,147
"281",281,5350,166
"282",282,4506,139
"283",283,4028,123
"284",284,5087,159
"285",285,5022,154
"286",286,4486,138
"287",287,4507,139
"288",288,4227,130
"289",289,5024,155
"290",290,4234,130
"291",291,4778,149
"292",292,4432,134
"293",293,3412,107
"294",294,4590,140
"295",295,4086,127
"296",296,4456,138
"297",297,5024,158
"298",298,5122,159
"299",299,4235,131
"300",300,4189,129
"301",301,4647,144
"302",302,4469,138
"303",303,4362,135
"304",304,4393,138
"305",305,3491,107
"306",306,4195,131
"307",307,4359,136
"308",308,4774,147
"309",309,5078,158
"310",310,4971,153
"311",311,4854,150
"312",312,5007,153
"313",313,3989,125
"314",314,4726,143
"315",315,4244,129
"316",316,3556,112
"317",317,4245,130
"318",318,5159,162
"319",319,4824,147
"320",320,4272,130
"321",321,4120,130
"322",322,4908,152
"323",323,5068,157
"324",324,4174,130
"325",325,5013,156
"326",326,4397,136
"327",327,4726,146
"328",328,4530,141
"329",329,4471,137
"330",330,4228,131
"331",331,5217,161
"332",332,3703,115
"333",333,4098,127
"334",334,4299,134
"335",335,5143,161
"336",336,3972,123
"337",337,5162,158
"338",338,3932,119
"339",339,4366,132
"340",340,4903,150
"341",341,5145,159
"342",342,4330,134
"343",343,4630,143
"344",344,4020,124
"345",345,4932,154
"346",346,4960,154
"347",347,3695,113
"348",348,4755,146
"349",349,4525,143
"350",350,4843,150
"351",351,3752,116
"352",352,4278,129
"353",353,3643,113
"354",354,4534,141
"355",355,4176,129
"356",356,3939,122
"357",357,4289,132
"358",358,3253,100
"359",359,4015,123
"360",360,4304,132
"361",361,3414,107
"362",362,5221,163
"363",363,4642,144
"364",364,3226,100
"365",365,4967,152
"366",366,3825,120
"367",367,5530,170
"368",368,4096,127
"369",369,4157,129
"370",370,5306,165
"371",371,3392,106
"372",372,4518,140
"373",373,5207,164
"374",374,4945,152
"375",375,5168,160
"376",376,4573,141
"377",377,5161,157
"378",378,4047,121
"379",379,4228,131
"380",380,4373,137
"381",381,4966,155
"382",382,4407,137
"383",383,3742,119
"384",384,3801,120
"385",385,4357,133
"386",386,5491,169
"387",387,4209,128
"388",388,4180,129
"389",389,4547,140
"390",390,4386,136
"391",391,4685,145
"392",392,3992,123
"393",393,4019,123
"394",394,4702,147
"395",395,4970,155
"396",396,4529,141
"397",397,4502,138
"398",398,4334,134
"399",399,4400,136
"400",400,4063,127
"401",401,3649,112
"402",402,4383,136
