"","id","banyak_calon_resp"
"1",1,4691
"2",2,4462
"3",3,4203
"4",4,4538
"5",5,4602
"6",6,4443
"7",7,5055
"8",8,3628
"9",9,4439
"10",10,4320
"11",11,3948
"12",12,4366
"13",13,4376
"14",14,3953
"15",15,5241
"16",16,3383
"17",17,4868
"18",18,4597
"19",19,4086
"20",20,4790
"21",21,4260
"22",22,4160
"23",23,4201
"24",24,3920
"25",25,4526
"26",26,4519
"27",27,4127
"28",28,5318
"29",29,4264
"30",30,4195
"31",31,4760
"32",32,4473
"33",33,3948
"34",34,4842
"35",35,4412
"36",36,3571
"37",37,3870
"38",38,4404
"39",39,4334
"40",40,4221
"41",41,4598
"42",42,5173
"43",43,4481
"44",44,4995
"45",45,4582
"46",46,3793
"47",47,5446
"48",48,4985
"49",49,3456
"50",50,5057
"51",51,4723
"52",52,4250
"53",53,4345
"54",54,3986
"55",55,4557
"56",56,5206
"57",57,4181
"58",58,4686
"59",59,4167
"60",60,4934
"61",61,3961
"62",62,4794
"63",63,4278
"64",64,4117
"65",65,4291
"66",66,3730
"67",67,5188
"68",68,5847
"69",69,4088
"70",70,5023
"71",71,4672
"72",72,4667
"73",73,3664
"74",74,4597
"75",75,5573
"76",76,4186
"77",77,4254
"78",78,4012
"79",79,5496
"80",80,3920
"81",81,3842
"82",82,4737
"83",83,5096
"84",84,4309
"85",85,4818
"86",86,4814
"87",87,4563
"88",88,4658
"89",89,4287
"90",90,5386
"91",91,5260
"92",92,4962
"93",93,4410
"94",94,4645
"95",95,4568
"96",96,3942
"97",97,4200
"98",98,4489
"99",99,4658
"100",100,5341
"101",101,4834
"102",102,4327
"103",103,4297
"104",104,4267
"105",105,4934
"106",106,3570
"107",107,5434
"108",108,4289
"109",109,4905
"110",110,4992
"111",111,5185
"112",112,4220
"113",113,4026
"114",114,5450
"115",115,5388
"116",116,4016
"117",117,4196
"118",118,4573
"119",119,4321
"120",120,4183
"121",121,4257
"122",122,4862
"123",123,4765
"124",124,5490
"125",125,4939
"126",126,3961
"127",127,4106
"128",128,4153
"129",129,4299
"130",130,4792
"131",131,4174
"132",132,4542
"133",133,5057
"134",134,3894
"135",135,4396
"136",136,3758
"137",137,4542
"138",138,4159
"139",139,4720
"140",140,4317
"141",141,5033
"142",142,4767
"143",143,3547
"144",144,4325
"145",145,4425
"146",146,3974
"147",147,3528
"148",148,4772
"149",149,4266
"150",150,4325
"151",151,5062
"152",152,4467
"153",153,4293
"154",154,5068
"155",155,4870
"156",156,3914
