riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar school 2018,Wanita,39,Housewife,Menikah & sudah punya anak,4000000,4,1000000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,10,Middle 2 [nielsen]
ar school 2018,Wanita,38,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,11,Middle 1 [nielsen]
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,3500000,3,1166666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Upper 2,7,4,4,15,High,Upper 1 [nielsen],,,12,Middle 1 [nielsen]
ar school 2018,Wanita,45,Employee/wage earner,Menikah & sudah punya anak,8000000,6,1333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,High,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,13,Upper 2 [nielsen]
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,6000000,4,1500000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,14,Upper 2 [nielsen]
ar school 2018,Wanita,41,Employee/wage earner,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Sumur bor/pompa,Medium,S1/S2/S3,Upper 2,8,4,2,14,Medium,Upper 2 [nielsen],,,15,Upper 1 [nielsen]
ar school 2018,Wanita,33,Housewife,Menikah & sudah punya anak,5000000,5,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Middle 1,7,4,4,15,High,Upper 1 [nielsen],,,16,Upper 1 [nielsen]
ar school 2018,Wanita,40,Housewife,Menikah & sudah punya anak,7000000,4,1750000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,17,Upper 1 [nielsen]
ar school 2018,Wanita,36,Housewife,Menikah & sudah punya anak,5500000,5,1100000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,18,Upper 1 [nielsen]
ar school 2018,Wanita,47,Housewife,Menikah & sudah punya anak,8000000,8,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
