"","negara","gdp.per.capita","life.satisfaction"
"1","Afghanistan",1803.98748708124,2.66171813
"2","Albania",11803.4305936025,4.639548302
"3","Algeria",13913.8393634819,5.248912334
"4","Argentina",18933.9071474396,6.039330006
"5","Armenia",8787.57993972036,4.287736416
"6","Australia",44648.7099113362,7.25703764
"7","Austria",45436.6858219914,7.293727875
"8","Azerbaijan",15847.4188327529,5.152279377
"9","Bahrain",43290.7045180745,6.227320671
"10","Bangladesh",3523.98385062592,4.309771061
"11","Belarus",17167.9672600246,5.552915096
"12","Belgium",42658.57617009,6.928347588
"13","Benin",2064.23633398033,4.853180885
"14","Bolivia",6885.82857742035,5.65055275
"15","Bosnia and Herzegovina",11713.8947839235,5.089902401
"16","Botswana",15807.3735945626,3.504881144
"17","Brazil",14103.4515313404,6.332929134
"18","Bulgaria",18563.3066168958,5.096901894
"19","Burkina Faso",1703.10162867752,4.646891117
"20","Cambodia",3645.06952060093,4.585842133
"21","Cameroon",3364.92605635113,5.07405138
"22","Canada",44017.5909063335,7.414868355
"23","Central African Republic",661.239967689311,3.475862026
"24","Chad",1768.15341090621,4.558937073
"25","Chile",22767.0371912423,6.320119381
"26","China",15308.712122905,5.099061489
"27","Colombia",13254.9492184779,6.157341957
"28","Congo",4881.40574395234,4.883991241
"29","Costa Rica",15524.9945630542,7.22518158
"30","Cote d'Ivoire",3601.00590113374,5.037734985
"31","Croatia",22669.796546633,5.343165874
"32","Cyprus",32415.1322300794,6.062051296
"33","Czech Republic",32605.9063265661,6.789567947
"34","Democratic Republic of Congo",808.133213366763,4.311033249
"35","Denmark",46682.5147204669,7.593702316
"36","Dominican Republic",14600.8605841474,5.605202675
"37","Ecuador",10581.9364286536,5.839518547
"38","Egypt",10550.2064956646,3.929344177
"39","El Salvador",7292.45780376927,6.339318275
"40","Estonia",29481.2518067978,5.938395977
"41","Ethiopia",1729.9266389468,4.180315495
"42","Finland",40585.7210349228,7.788251877
"43","France",38605.6708967878,6.635222435
"44","Gabon",16562.4133558094,4.782382965
"45","Gambia",1561.76684287663,4.117938995
"46","Georgia",9745.07890399104,4.45077467
"47","Germany",45229.2452947032,7.074324608
"48","Ghana",4227.62984443235,5.481310844
"49","Greece",24574.382476123,5.14824152
"50","Guatemala",7423.80759192956,6.325118542
"51","Guinea",1998.92571988235,4.873722553
"52","Haiti",1653.17250369424,3.823865652
"53","Honduras",4541.79525706075,6.019985676
"54","Hong Kong",56054.9198320303,5.362474918
"55","Hungary",26777.5607913953,6.065038681
"56","Iceland",46482.9582874747,7.476213932
"57","India",6426.67440634599,4.046111107
"58","Indonesia",11188.7440161175,5.098401546
"59","Iran",19082.619603326,4.716783047
"60","Iraq",15663.9860708075,4.462399006
"61","Ireland",67335.2934089652,7.060155392
"62","Israel",33132.3203044888,7.331036091
"63","Italy",35220.0837894122,6.198870182
"64","Jamaica",8193.57064989072,5.889759064
"65","Japan",39002.2233247384,5.910676479
"66","Jordan",8337.489701029,4.808082581
"67","Kazakhstan",24055.5883238545,5.882351398
"68","Kenya",2993.02844847527,4.475654125
"69","Kuwait",65530.5365781216,6.093905449
"70","Kyrgyzstan",3393.47361284144,5.629536629
"71","Laos",6397.35982538814,4.623140812
"72","Latvia",25063.8455453213,5.977817535
"73","Lebanon",13367.5650219298,5.153989792
"74","Lesotho",2851.15275428862,3.795300722
"75","Liberia",752.787839463112,4.424490929
"76","Libya",17881.5093512674,5.646852493
"77","Lithuania",29524.2646006684,6.272940636
"78","Luxembourg",94277.9653571589,7.061380863
"79","Macedonia",13111.2135744255,5.233866692
"80","Madagascar",1416.43950728464,4.078620434
"81","Malawi",1095.04208875801,3.416862965
"82","Mali",2014.30586969334,4.741850376
"83","Malta",36513.323442225,6.675665855
"84","Mauritania",3597.63253011137,4.678159714
"85","Mauritius",20292.7446336139,6.174117565
"86","Mexico",17336.469071694,6.410299301
"87","Moldova",5189.97166016505,5.325530529
"88","Mongolia",11840.8461179669,5.333850384
"89","Montenegro",16409.2876960117,5.614798546
"90","Morocco",7485.01295069865,5.312482834
"91","Mozambique",1136.10256446235,4.279863358
"92","Myanmar",5591.5968799618,4.154341698
"93","Namibia",9541.80829205217,4.441306114
"94","Nepal",2442.80394231834,4.736692429
"95","Netherlands",48472.5445411531,7.458965302
"96","New Zealand",36085.8427771972,7.32718277
"97","Nicaragua",5321.44351591724,6.476356506
"98","Niger",926.000141959658,4.615673542
"99","Nigeria",5338.45412665139,5.321928024
"100","Norway",64800.0573263061,7.578744888
"101","Pakistan",5034.70775633353,5.830870628
"102","Palestine",4449.89832452996,4.62813282
"103","Panama",22267.0368216362,6.567658901
"104","Paraguay",8827.01005811482,5.71329546
"105","Peru",12236.7061519677,5.710936546
"106","Philippines",7599.18806040387,5.594270229
"107","Poland",27216.4448774425,6.201268196
"108","Portugal",27936.8960928735,5.711499214
"109","Romania",23313.1993431851,6.089904785
"110","Russia",24765.9536336261,5.578742981
"111","Rwanda",1854.21079087361,3.10837388
"112","Saudi Arabia",49045.4112618159,6.294282436
"113","Senegal",2470.57958207519,4.683024883
"114","Serbia",14048.8806366748,5.122031212
"115","Sierra Leone",1390.30026748482,4.089562416
"116","Singapore",85535.3832002,6.378437996
"117","Slovakia",30155.1521229863,6.365509033
"118","Slovenia",31400.8395120955,6.166837692
"119","South Africa",12294.8761402351,4.513655186
"120","South Korea",35938.3742161469,5.873887062
"121","Spain",34272.3603838191,6.230173111
"122","Sri Lanka",11669.0766785045,4.330945492
"123","Sweden",46949.2830858792,7.286804676
"124","Switzerland",57410.1658575199,7.473593235
"125","Tajikistan",2896.91285075403,5.829234123
"126","Tanzania",2683.3040235534,3.347121239
"127","Thailand",16277.6711509397,5.938895226
"128","Togo",1429.81342674593,4.360805035
"129","Trinidad and Tobago",28763.0707623686,6.191859722
"130","Tunisia",10849.2973861625,4.124342918
"131","Turkey",25129.3406487777,5.607262135
"132","Turkmenistan",16389.0233128331,5.229148865
"133","Uganda",1697.70651058028,4.000516891
"134","Ukraine",7894.39292578581,4.311067104
"135","United Arab Emirates",67293.4827590288,7.039419651
"136","United Kingdom",39753.2438934915,7.103273392
"137","United States",54225.4461231621,6.9917593
"138","Uruguay",20551.4094200387,6.336009979
"139","Uzbekistan",6253.10386034453,6.421447754
"140","Vietnam",6171.8841923362,5.175278664
"141","Zambia",3689.25082617978,3.932777405
"142","Zimbabwe",1899.77497716634,3.63830018
